ID,explain_money,classification
R_5frwFXWxmKD5aMK,I decided to keep all the money for myself because I do not know my research partner. I feel no obligation to give her a portion of the money because of this. I would rather keep it all for myself.,OTHER
R_3CK3AtTQQYIsmxX,"I allocated $8 to myself and $2 to my partner because as much as I wanted the full $10, I did not think that it was fair so I decided to give them a little bit, and I believe that they would understand. I think anyone who was given this option would take all of the money for themselves and I thought that it would be nice to give my partner a share.",SOCIALNORM
R_1y7mXBCWma7EFyd,ten dollars doesn't mean much so I am willing to share it equally. I'm fortunate for what I have so I am willing to share.,SOCIALNORM
R_1JJgR09cPInpzdC,"I give most of the one dollar bills to myself because I would use them to buy necessities I know I need, while I don't know what the other participant would need the dollar bills for.",FUNGIBILITY
R_3DI77O1x2wMbvJ8,it is even between the both of us which i think is fair when it comes to money,SOCIALNORM
R_5kN8Rgf2QiGNPle,"I do not know this person very well. If I gave myself more money they would have a negative impression of me, which I don't want a random person having.",SOCIALNORM
R_6uyoSXGGlqDUMwc,I decided to each give $5 to me and my partner. I think this is the most fair way to go about it,SOCIALNORM
R_1MkTKIO1gnol6Fj,"I gave both of us 5 dollars since it only seems fair. If I took it all, that would seem very greedy.",SOCIALNORM
R_5nIpN89BRbgRezs,"I allocated 5 one-dollar bills to the other participant and 5 to me because it is a fair split of the total dollars I got. If I knew of any of the other participant's needs for a bigger amount, I would allocate more.",SOCIALNORM
R_30Yj3pfG4qI5Da5,There is no reason to not split the money. I did nothing different to my partner that would make me earn more money.,SOCIALNORM
R_1sn5eY5Qye5YaxX,"I would just want to split the money evenly, it is not a significant portion so there is no major gain from keeping all or most of it to myself, it would be fair and kind to split it evenly.",SOCIALNORM
R_6ODlj4TDsokLso9,i have 4 he have 6 is very good. for my opion,OTHER
R_7n00Pw4LDGVWMKb,"I keep enough that I could buy basic necessities but if the other person was struggling or wanted to buy something, it would help her chip in towards the next purchase. The only way I would give less is if the other person would seem ungrateful if I were to help them, then I'd keep all of the money since it can help me out or someone who needs it more.",FUNGIBILITY
R_5mfxndJ1u3TKPgp,Just seemed fair if the money was going to both of us to split it up evenly. I could've been rude and taken all the money but it doesn't seem worth burning a possible connection for only $5 - I am not that greedy.,SOCIALNORM
R_3gSpV7ziUO4TrEJ,I would take all of this money to get lunch,FUNGIBILITY
R_1ruMd8AM8feoZEm,I indicated that I would give 5 to myself and 5 to my research partner. I mean its only fair if we both get half of what I can give out. Anymore or any less would be rude to one or the other person.,SOCIALNORM
R_3bAgvOTfQNJnqb7,"We both participated in this study, so I feel like it is only fair we split the $10. She seemed nice otherwise I would just take the money.",SOCIALNORM
R_7QN5ue63VAznD0Z,"I evenly split the money between myself and my partner. Considering we do not know each other at all, I have no reason to give them more or less than half.",SOCIALNORM
R_1pWVAAU80QPcUBT,I gave the participant half of the money just because we were both involved and deserve to split the pot. It is the easiest way to split money without getting into an argument.,SOCIALNORM
R_78WnPKQIrMvVAgV,"I think if we go out together, we can separate the money we have.",SOCIALNORM
R_3Xo0R7JymO7WI1Q,"i split the money evenly, 5 dollars to each of us. This way everything is fair, because one of us does not deserve more than the other, we did not do anything to deserve the money.",SOCIALNORM
R_66Fe9DjsUy62iC5,I would give each of us 5 because we were partners and both deserve and equal amount.,SOCIALNORM
R_7rIx4NE1YvJbKNP,If we each had the possibility to have 10 dollars total I think it would be fair for both of us to have half.,SOCIALNORM
R_7tgwxRyIU4w5V2o,i took 5 because why not and gave her 5 because why not,OTHER
R_1QqsXpP9BS7PxxT,I felt like it would be unfair to just be handed $19 in front of somebody that is my partner and not share. So I did a 50/50 split.,SOCIALNORM
R_7EbPJtl1D1NeM32,I split the money evenly between my partner and I because that is the fairest option. I do not believe that I should receive more than her or vice versa.,SOCIALNORM
R_50jE5ibMCCgpohN,"I had said that I would split the money equally at $5 and $5 each as I figured that would be the fairest for both of us. As well as that, I figured that us both having $5 of the $10 would be much more overall useful in the long run than only I have the full $10.",FUNGIBILITY
R_5rCbe489DYpORJ4,"I decided to split the money in half between us evenly. I feel like it was the easy option to do. Since we both had no money to begin with, we should each get an equal share.",SOCIALNORM
R_1MF1uztVU6wmuf9,"I am hungry and need to eat, so 9 dollars would be great for a meal. She can have a dollar.",SATIATION
R_6OqymTybSiJXvxy,"i even split the $10, $5 to me $5 to her. I chose this because we likely both want the money so an even split would work the best for this situation",SOCIALNORM
R_3O6AamvSnjgLLoi,split even,SOCIALNORM
R_6m4xma0yspfHysF,"I split the money 50/50 because Max was a cool guy, and we got to know about each other. I also did this because that is the fairest outcome.",SOCIALNORM
R_14c3DJ1WgORhZkZ,It would not be fair to take more money for myself. I divided it evenly because we are both doing equal work.,SOCIALNORM
R_7foMaPI01qgv2v4,"I allocated this amount to myself for multiple reasons. First, I wanted it to be an even balance. After I gave her almost all of my sugar, I believe that I should be receiving most of the cash. Second, cash to me is more valuable than sugar. If you have cash, you can do more with it than you could do with sugar. Finally, it's important for me to have something that I will actually use, as opposed to something that I won't use.",FUNGIBILITY
R_7S8qbgCyptzywG9,"I would expect him to split it evenly, so I did. We both have the opportunity to split the money, so we each end up with $10 anyway.",SOCIALNORM
R_1kGIL02BSmq29QI,"Its just one dollar bills, the difference between 10 and 5 dollar bills isnt that crazy for me to be selfish",SATIATION
R_52XAnmwZjuTAocQ,"If I were given 10, it would feel wrong to give my partner anything less than half. So I gave them 5.",SOCIALNORM
R_6IPUtF9QjuOQL5v,I chose to evenly distribute the money because that is fair.,SOCIALNORM
R_6f47OOirQQvytKm,"I did a 5/5 ratio because it was even. We both were chosen randomly, and to be fair, we both should get the same amount of 1-dollar bills. This way, we both get the same amount, and one doesn't get more than the other, and it won't cause problems.",SOCIALNORM
R_3lvoEbsMb6RymwV,$10 is not much. I would get more value out of the joy of sharing it.,SOCIALNORM
R_7eVkfq1XQMEF9jr,"I chose to split the money with me getting $7 and partner getting $3. I need some spare money for snacks and stuff, so $7 is a good amount for that. It is my partner, so I didn't want to take all the money. It would be disrespectful to leave $1 or $2 so $3 is a good amount.",SOCIALNORM
R_7ktcint08VIZ4Gm,"I gave $5 to both of us, so that we would be even. I would feel guilty taking more than half but want at least half for myself.",SOCIALNORM
R_5vkT6uXjsUPDUno,I split them 50/50. That is because I do not know her so I wouldn't give her more or less.,SOCIALNORM
R_10wxgS8MFVqLskE,Splitting it equal seems fair and reasonable.,SOCIALNORM
R_74co1xVKtdQmAW4,It would only be fair to split the money evenly. There is no reason that I should get more than my partner does.,SOCIALNORM
R_5uPu9DJpFmbAEzm,I put that we each get 5 dollars.This way we both get the same amount and are happy,SOCIALNORM
R_3re8Wk0VdJzXpjr,We're both strangers doing a study. There is no need for either one of us to get more than the other. So splitting it half-half makes the most sense and is the most fair.,SOCIALNORM
R_6RfjNE7py35asmJ,"I need money. If i have the choice to keep money or give it away, I am going to keep it.",OTHER
R_736dYLAJNVzRCwh,"I split the money evenly because $10 to myself in this economy would not have been that beneficial anyway. Also, even though I just met her she seems nice and I would like to think that she would do the same.",SOCIALNORM
R_6CQgey27sm8Jeyp,I allocated the money in this way because it is the most fair way I could do it. Any other split is unfair and rude.,SOCIALNORM
R_5gTz8lWLP6dZCDJ,Money is useful to everyone so I felt that it was the most fair to give each of us an equal amount. The other participant might also be annoyed if she got less money than me.,SOCIALNORM
R_5aUDkpl0l4ld7gI,"$10 is mutually appealing to both of us, so it makes sense to split it down the middle. Maybe if I found the $10 or if he did not want the whole $5 or wanted more, I would take more or less, depends on the scenario.",SOCIALNORM
R_3YqYhTEbNjQkYnB,"It is fair and just that we evenly split the money. If I had prior info that he needed an extra dollar or something then I would probably give it to him, but with the knowledge I have, it is fair to evenly split the ten dollars.",SOCIALNORM
R_6OrJmydl0eDFR7N,This is because it's a group study and I would feel bad for taking all the money that was given to me to distribute. Since we both go to the same school and might run into each other I'd rather him see me in a positive light.,SOCIALNORM
R_5FVnOq6N2niLjTH,"Despite my fondness of money, I feel morally obligated to at least split the money evenly between the two of us. This is a fair decision in my opinion.",SOCIALNORM
R_7VOBWb8p76aL4fT,"I just thought it is good to keep things equal and fair. As we could both benefit from having 5 dollars, which could allow you to buy a drink or snack. If I gave myself a larger portion, I see no reason in that as someone can't do much with a few dollars.",SOCIALNORM
R_31VrFxT4X1apThv,"Once again, I gave each of us the same amount of $5. I did this because while I do value money more than oatmeal, I think I'm okay with only receiving $5 instead of getting all $10 for myself. It's not big enough of a value for me to worry about giving myself more than my partner.",SOCIALNORM
R_6GE5fnVYYLV7P9J,"I thought it would be something nice to do for the other person. If I was randomly given 10 dollars, maybe he would need the money more than I would.",SOCIALNORM
R_5visovmegLKFM8F,"I didn't want to be greedy, and I think it is fair if we just split it. Also i think she would do the same for me.",SOCIALNORM
R_1Yb1nh3MFT0PbbG,"I allocated the money the way I did because I like my partner, and still wanted to give her money, but I did want to keep a portion for myself. The 60/40 split seemed the most fair since I was still giving her money but got to keep the money given to me.",DESIRABILITY
R_7CfeJJsXE9doY5O,we both get $5 more than we had at the beginning. And its fair to split it evenly.,SOCIALNORM
R_1BbniTxZ1mwpXXz,"Considering that $10 is not all that much money, I decided that I would give her half and keep half for myself to be fair. After all, there's only so much I could do with $5 more.",SOCIALNORM
R_5pgL5tslRFTMMtv,"If my partner saw that I had ten dollars to allocate between us, he might feel a certain way should I keep more or all of the money. I too, would've felt bad not giving him any. It seemed the fairest to split it.",SOCIALNORM
R_65Xp6yACt6Vl2tr,"Assuming they would not know I could give them up to 10, plus i do not know them",OTHER
R_6hUWH8NAlcSKsLf,"I wanted to make sure it was even. If they need money, I would probably give them all 10.",SOCIALNORM
R_52P9OeYQHuWG2Jv,I distributed it equally assuming we both want the money.,SOCIALNORM
R_1NWL4YKteSA6f4d,"I chose to split the money evenly because I it would benefit both my partner and I. Even though it's less money than if I were to keep the full $10, I would be more at ease knowing that we both have an equal amount of money for ourselves.",SOCIALNORM
R_74imBdCiemuveRq,"I am not struggling with money; therefore,, I chose to split evenly between us. It is fair that we get the same amount, unless he needed it more than me in which case my answer would change.",SATIATION
R_12uqXUe7afRuGHt,"Since we were a randomly assigned pair, there's no reason why I would deserve to get more dollars than the other person. If we were playing a game for money like gambling or something then maybe I would have made a rule where i would give the other person more or less than myself.",SOCIALNORM
R_5ItGsCLbtGnj36h,"If given money for free to distribute, I'd want to do it equally. In my opinion it feels the most fair.",SOCIALNORM
R_3Cfgzpc3UkqnyX6,"I actually introduced and met this person before the study, and splitting the money evenly seems like a nice thing to do, and 50 dollars is still a lot of money currently, which could buy me just over half of my groceries.",SOCIALNORM
R_7rZvRofzdgrEvab,I want the money to be evenly divided. It would be unfair for one of us to have more money than the other person.,SOCIALNORM
R_5nTR8qdHfsp5B1N,I decided to give two dollars because it is better than nothing. Both parties are still leaving better off but I am leaving slightly better off.,OTHER
R_6ZW745lUpmJxEXH,The 10 dollars was given to me I see no reason to randomly distribute it. Maybe if I was splitting 20 in half my answer would be different but 5 dollars apiece does not go too far between two people. For all I know they were offered the same deal and could have kept their 10 as well.,SATIATION
R_1oNlKzvO6qkQIRw,"She seemed like a nice person so I figured if I was sitting next to her, I would split the ten dollars. Figured it would be a nice deed.",SOCIALNORM
R_1qUG2BGu1jHr7qQ,I value $10 highly. I was given the $10 so i believe is hould be able too keep it all. if my partner choose to keep it all I would not blame them.,OTHER
R_5EzXVlcrKNUyQ3f,"I just wanted to keep it even. Yes, I could keep it all for myself, but I don't think I would morally or ethically feel ok doing that. What if my partner needed the money?",SOCIALNORM
R_6joGGi6BJN0kCf2,it would be a nice little cup of coffee or something for each of us. the extra $5 isn't a super impactful amount of money so we might as well split it and both walk away happy.,SATIATION
R_6SpNzAHTLtneDZ0,"There is an even number of $10 bills, so I gave the both of us a fair share.",SOCIALNORM
R_5Xxkqu43uN6gI8N,"It was the most fair, 50-50",SOCIALNORM
R_3NVrfRHHDVkbB8a,because that would be fair. I don't want him to feel left out,SOCIALNORM
R_7rwuBZKiWQup25E,we were randomly paired and then given the ten dollars for the two of us. we should just split it evenly so it is fair and all parties are happy.,SOCIALNORM
R_3U4qs6MoQxcDN6w,"I know 5 dollars isn't a lot of money but that is something that could cheer up someone's day. Also, if it wasn't my money to begin with I might as well share it.",SOCIALNORM
R_6pQA102t0EL3gXM,Money is a big problem of greed and making it fair and optimal I gave him 5 and myself 5 so we could both walk away happy. This amount is not large enough for me to want to be able to split or keep all of it.,SOCIALNORM
R_56P3YhzJ91TIhj3,The same as the first example. It's even and I'm not going to lose my mind over $5.,SOCIALNORM
R_17wKBxjT2yFQIWG,I allocated the ten dollars equally between the other participant and myself to keep things fair. I would rather split the $10 with the other person so that we both have the chance to benefit from the money.,SOCIALNORM
R_52a2mT5Ujyd6SsF,"I decided to allocate $5 to another participant ($5 for myself) because that way it's an even share and each of us get something out of it. I am not a greedy individual, so an even share seemed best.",SOCIALNORM
R_6jesfZ5JS3w47EO,"He might need the $10 so I chose to give him all of the dollars. I don't need them bad, but maybe he does.",SATIATION
R_1PuXbHrkwqFNFuN,The $10 kind of came from nowhere. Neither one of us did any work for the money so I think we should split it evenly since there is no other reference for how to split the money.,SOCIALNORM
R_77wnZMeYrFmliGK,"I allocated it evenly between us because it seemed the fairest. If we are randomly getting the money, neither of us did anything to deserve it, so it should be split evenly.",SOCIALNORM
R_1owegpSVb9t0FTA,The amount was such a little amount of 10$ so I didn't really mind splitting it in half. It wasn't that big of a deal so I just split it evenly.,SATIATION
R_6hB8WIyXKXQ9enL,Again 50/50 seemed to be the only fair way to divide up the money. I am not in desperate need of $5 and I would rather be fair and just versus seem greedy or greed over $5.,SATIATION
R_7GByqCGVgjkLwSY,"I gave me 9 of the dollars and them 1, I do no really know my partner so that is why I chose to keep the money for me.
",OTHER
R_7ZPPWyD7LaqvKr7,"Same as above, I split it in half so we each get $5. There isn't really a reason I just think it's fair.",SOCIALNORM
R_3Qxs4wDAJZNTrBr,"still half and half, and no argument",SOCIALNORM
R_1Izs124gCTzLqLq,Again I did this because it is the most fair thing to do and the right thing to do.,SOCIALNORM
R_7RaFFxIPEOJoa7i,"I allocated five of the ten dollars to the other participant. Just like the pens, I didn't need all of it, so I decided we could split it.",SATIATION
R_5QS4jRX3qahVSjn,"neither of us ""earned"" the money. We were given it as a group and it makes sense to split it between us as it is also not a large amount of money.",SOCIALNORM
R_5Ncn9VRWGVGo2Cl,I would give each of us 5 dollars because it is fair and we both gain the same thing,SOCIALNORM
R_5zKILD6GB8bLMXf,it is fairest if split evenly. Especially with money i wouldn't want to be greedy and take more,SOCIALNORM
R_1CaCkVfoe6JcvZv,"Ultimately, we both gain in the situation provided. So, I saw no reason to take the entire $10 for myself. Even though I may know not much about my partner, why should I treat her that way?",SOCIALNORM
R_66fh3PITLpNaKWI,"The money was given to us, so it is fair to split it evenly.",SOCIALNORM
R_6BIfMXfAyE8fHm9,"we should split the number evenly, that is the only fair way",SOCIALNORM
R_71cIali32krfPjS,"Split it equally because people value money more than anything. If they saw me receive 10 or 9 dollars and they either got 0 dollars or 1 dollar they might have been upset, as would I.",SOCIALNORM
R_6IjixZHQf4wh6Fz,I do not know the person I was paired with very well. If they did not know I had to split money I would just keep it for myself.,SOCIALNORM
R_6wFSlXwjK1dhu0o,"I don't know anyone here doing this research, so I think it would only be reasonable to split it evenly. I don't know anyone's financial situation either and it would be unfair to assume that one other person gets more.",SOCIALNORM
R_7FFzvVGhril1ZOS,"Splitting evenly is probably the proper thing to do, but ultimately when you're given a decision it's almost impossible not to decide what's in your best interest. I would feel some guilt not evenly distributing the money, but I also don't know the person who's receiving it, and their intentions behind spending the money.",SOCIALNORM
R_7oI3SIxeT9kjqu6,"We walked in both with $0 and were offered $10. There is no point to be greedy, split the amount between both of us can let us both get a snack today and be happy. We walked out with more money than we had before.",SOCIALNORM
R_3Du32NZXlwkOgYc,It's fair that we both get the same amount. If i took 7 and gave her 3 it would be unfair of me. If she got 3 and i got 7 it would be unfair to her.,SOCIALNORM
R_5e4f0PoBxZsWADp,"I chose to split the $10 with the other person because it's selfish to just keep all the money. If I always have the choice, I will always split the cost, or anything related to that.",SOCIALNORM
R_3HTVuLppb6n19tO,I think that it would only be fair to split the money won because neither of us did anything more than the other to deserve the winnings.,SOCIALNORM
R_6LnA4wpJ6f61RHP,"I wanted the money because that allows me to pay for things like food, utilities, rent. etc. Getting this money saves me time and effort.",FUNGIBILITY
R_5RUL6JSeeKlxhPi,I split the money evenly so each of us gets $5. It seems the most fair without knowing anything about my partner's financial situation.,SOCIALNORM
R_5vJRWS9fAAfbizT,"I chose for each of us to get the same amount because it just seemed fair. Since it's my first time meeting them, I don't want to give them a bad impression I also don't know if they need the ten dollars more than I do so just keeping it the same just makes it easy.",SOCIALNORM
R_5Rxf6swqTpgn7eu,"I would want it to be even. I don't know the other person's financial situation, so I wouldn't choose to give them more. I also wouldn't take more than an equal number because I don't think that is fair.",SOCIALNORM
R_3PuaMLk5FFFTuLr,"i would split it evenly because i believe that is the most fair way. if he was in the same position, i hope he would do the same.",SOCIALNORM
R_5KDzKmKIqlJ7CVI,I felt like it should be split evenly. We both along very well and he was a very genuine person.,SOCIALNORM
R_1GDmg0yWgrk7XpC,"I decided to give myself 5 dollars and my partner also 5 dollars. There is no reason one of us needs more, so I think an even split is the best case.",SOCIALNORM
R_1pRIUcBLkzBGslq,"I thought harder for this scenario, as I was inclined to take all ten for myself, but decided otherwise. The dollar value was low, and like the pens, somewhat insignificant. This led to my decision to split the cash 50/50.",SATIATION
R_7OquNTHMsxHHSLZ,"Similarly to the ballpoint pens, I decided to split the $10 evenly between us. This follows the same reasoning as well, because I would not feel comfortable keeping more of the money to myself knowing it would be just as easy to split it evenly.",SOCIALNORM
R_32Muq6Y6gnckZL0,"I wanted the money for myself but, also wanted to give some to my partner. It felt fair that because I found it I got a little more then her and still gave her a good amount.",SOCIALNORM
R_1CQhqeTbClkGsdR,I would give half of the money to the other participant and keep the other half. I think this proportion is the only way we both get something that is fair.,SOCIALNORM
R_5KvjkATw8t7EM5b,"I chose to equally split the $10 between me and the other participant because it would be strange to not share the same amount with them, especially since i do not know them very well, it would seem rude.",SOCIALNORM
R_5uNInxm1rUOiqNC,the reason i split the money in half is because that seemed the fairest.,SOCIALNORM
R_5004ViwSyLxP5GV,I chose to split evenly among us. I chose this because that is 10 dollars I did not have previously.,SOCIALNORM
R_72Y2IeZHOXIYibc,"Depending on the scenario, I would keep the $10 for myself. If I worked for it, then that is money. If the money was a result of our combined efforts, then I would split it.",OTHER
R_6duFgQKXoXHcn0S,I allocated the money equally too. 5 dollars for each of us makes sense and is the easiest way to decide.,SOCIALNORM
R_1JeN4JJriYnl5Ti,"I was given the $10 so I don't think I should give anyone any of it unless I want to. Maybe, if my allocated participant was a friend or family I would consider giving them some money.",OTHER
R_6vZYpEt1i30i9RO,"I think that 10 dollars isn't considered a huge amount of money to become greedy about. That is why I wouldn't care to split a 10-dollar bill with anyone, especially if I have received it as unearned money.",SATIATION
R_3o25g8pqp0o6zAS,"I would allocate $5 out of the $10 to the other participant. I chose this amount because we are dedicating the same amount of time to this study, therefore splitting the dollar amount equally is the fairest approach.",SOCIALNORM
