ID,explain_diff,classification_diff
R_5frwFXWxmKD5aMK,"I allocated a lower proportion of money than of brown sugar oatmeal packets because I do not value the oatmeal as much as I value the money. I don't particularly like oatmeal, so I decided to split it evenly, but I need money, so decided to keep it all for myself.",SATIATION
R_3CK3AtTQQYIsmxX,Money and oatmeal are two different products. The reason that I allocated more oatmeal to my partner than money was because I have a stronger want for the money than the oatmeal. I wanted to be able to share with my partner but I also wanted to be able to enjoy some of the money to treat myself to something nice.,DESIRABILITY
R_1y7mXBCWma7EFyd,"I had the same proportion because these goods are all not important to me. Yes, it is nice to have extra but I believe if you are more generous you will receive generosity back.",SOCIALNORM
R_1JJgR09cPInpzdC,"I allocated a lower proportion of money to the other participant because money is more valuable than oatmeal packets to me, but I still would want to somewhat be fair with what I was given. Again, 5 dollars would be nice, but 8 dollars is even better. But I have no need for 10 brown sugar oatmeal packets.",DESIRABILITY
R_3DI77O1x2wMbvJ8,"money i allocated less to my participant because i wanted it to be even, while instant oatmeal isnt really that rewarding in my opinion and i care less about it so i dont want that many, thats why i gave her more packets than myself",SATIATION
R_5kN8Rgf2QiGNPle,"I allocated the same amount to both me and my partner of both the money and oatmeal. I wanted us to be even since I do not know him well, but he seems like a nice guy.",SOCIALNORM
R_6uyoSXGGlqDUMwc,I allocated a lower proportion of money than brown sugar oatmeal packets because money is of higher value. You can also do more with the $5 than the oatmeal packets.,FUNGIBILITY
R_1MkTKIO1gnol6Fj,"I allocated the same portion of money as of brown sugar packets to the other participant, because it's only fair to have an equal amount.",SOCIALNORM
R_5nIpN89BRbgRezs,"I allocated the same proportion of money as of brown sugar oatmeal packets because it would be fair for both of us to get the same amount of each. Both the money and brown sugar oatmeal packets could be of use for both of us the same amount, so it should be split the same.",SOCIALNORM
R_30Yj3pfG4qI5Da5,I just wanted my partner and I to get the same amount of both. There is no reason to cause an argument by giving myself more than I need.,SOCIALNORM
R_1sn5eY5Qye5YaxX,"I gave myself more sugar packets because I made oatmeal using 2 packets, so having 5 packets would leave me with an odd number while 6 would be a perfect 3 meals. Money I split evenly because it is the righteous and kind thing to do, and I do not find the extra 5 dollars significant.",SOCIALNORM
R_6ODlj4TDsokLso9,"I think same is more balance, because i don't know that much him i can't do too much decision.",SOCIALNORM
R_7n00Pw4LDGVWMKb,"I allocated a lower percentage of money because people can always earn more of it so in the case of a low amount like $10, it won't get the person very far and its replenishable. Oatmeal can get someone farther, so I'd be more willing to give mine away since I'm not a fan of Oatmeal.",PERISHABILITY
R_5mfxndJ1u3TKPgp,I allocated more money to me than oatmeal because I actually have an interest in money. I do not like Oatmeal so I am happy giving it away. I enjoy money so I would like to at least split it.,DESIRABILITY
R_3gSpV7ziUO4TrEJ,I allocated a lower proportion of the money than brown sugar oatmeal packed because I did not need 10 oatmeal packed but I would use the 10 dollars,SATIATION
R_1ruMd8AM8feoZEm,"I allocated the same proportion of money as brown sugar because both were 10, which is easily splittable between two people. If I'm being given this and asked to share with another participant, then it's only fair that we get half and half.",SOCIALNORM
R_3bAgvOTfQNJnqb7,I distributed the same amount to both of us because it is only fair. I treat others the way I would want to be treated.,SOCIALNORM
R_7QN5ue63VAznD0Z,"I allocated the same proportion of money as of brown sugar oatmeal packets because the most fair solution seemed to be to evenly split the goods. I do not know this other person, I do not know their circumstances. I only know my own. I do not want to short or deprive the other person, nor myself.",SOCIALNORM
R_1pWVAAU80QPcUBT,"I allocated the same proportion of both just because we are in this together, also didn't want to cause any arguments if everyone is given the same out. This makes it so there is less complaints and drama as well.",SOCIALNORM
R_78WnPKQIrMvVAgV,"I dont like the sugar oatmeal,so if he likes, i wil give him all i have,",DESIRABILITY
R_3Xo0R7JymO7WI1Q,I allocated the same amount of money and brown sugar oatmeal packets to the other participant (5) that I did for myself (5) because I did not really care to take all the oatmeal for myself and I thought the money should be split evenly.,SOCIALNORM
R_66Fe9DjsUy62iC5,"I gave us each the same amount because we deserve equal, we are equal in my eyes.",SOCIALNORM
R_7rIx4NE1YvJbKNP,"I allocated the same proportion of money and oatmeal because they both have value. Each item is important for different reasons, so I thought it was fair to distribute them the same.",SOCIALNORM
R_7tgwxRyIU4w5V2o,they are the same because we doing the same thing and its to little amount of money for me to care and i dont personally like otmeal but my girlfruedn does,DESIRABILITY
R_1QqsXpP9BS7PxxT,I picked the same split for both to keep it fair and even.,SOCIALNORM
R_7EbPJtl1D1NeM32,I allocated the same amount for both the oatmeal packets and the money because it is only fair for us each to get the same amount.,SOCIALNORM
R_50jE5ibMCCgpohN,"I allocated the same proportion of money (5 and 5) as I did for the brown sugar oatmeal packets (also being 5 and 5). I did this because it seemed to be the fairest thing to do in that situation, and that we would both be coming out of the transaction happy.",SOCIALNORM
R_5rCbe489DYpORJ4,"I gave up more brown sugar packets than money because I did not really care for the oatmeal. I still kept the splits close to each other, so it was fair.",DESIRABILITY
R_1MF1uztVU6wmuf9,"I wanted to get something to eat, and I do not like oatmeal. I can use the money to buy something I want to eat.",DESIRABILITY
R_6OqymTybSiJXvxy,i allocated a higher portion of money than of brown sugar oatmeal packets even though we received the same amount of money. This is because I gave her 2 additional oatmeal packets compared to what I had.,FUNGIBILITY
R_3O6AamvSnjgLLoi,it was the same,OTHER
R_6m4xma0yspfHysF,"I gave the other participant 5 dollars, but 10 brown sugar oatmeal packets. I did this because I have more use for the 5 dollars than I do for sugar oatmeal packets that would never get used. The money has more value to me, so I decided to split it since that is fair, whereas the oatmeal packets have little to no value for me. Therefore, I gave myself what I wanted but also thought was fair.",FUNGIBILITY
R_14c3DJ1WgORhZkZ,I allocated the same for both the money and the oatmeal because both could potentially hold some sort of value. Dividing both equally ensures that neither of us would necessarily have an advantage over the other.,SOCIALNORM
R_7foMaPI01qgv2v4,"I allocated a lower portion of money than of brown sugar oatmeal packets to the other participant because I view money as more valuable than oatmeal sugar. With money, you can save, spend, or invest it. With brown sugar oatmeal packets, you can only really consume them. Money is more valuable to me, and that's why I decided to allocate more of it to myself than brown sugar oatmeal packets.",DESIRABILITY
R_7S8qbgCyptzywG9,"I allocated them in the same proportion because there were 10, and I don't need 10 packets of oatmeal. I also figured it would be easier to just split the money the same.",SATIATION
R_1kGIL02BSmq29QI,"I split it evenly because neither was something i really wanted, nor expected by partner to LOVE so we can just split",SATIATION
R_52XAnmwZjuTAocQ,"10 bucks isn't a crazy amount of money, the 10 oatmeal packets probably costed somewhere close to 10 dollars anyways. So same amount of money basically, just split it.",FUNGIBILITY
R_6IPUtF9QjuOQL5v,I allocated the same because neither are that important to me so I thought evenly would be best.,SATIATION
R_6f47OOirQQvytKm,"I think we should both be equal with the amount of money we get, and so I gave her a lower proportion of money than the brown sugar oatmeal packets ($5 and 7 packets). I don't like oatmeal, so she got more packets of it because she would use it more.",DESIRABILITY
R_3lvoEbsMb6RymwV,I put them as the same value. Not valuable enough to think of which is worth more.,OTHER
R_7eVkfq1XQMEF9jr,I allocated a lower proportion of money than brown sugar oatmeal packets to my partner because money is more desirable for me. I could use some extra money and I don't care all that much about oatmeal packets. I still want to share but the money is more important to me.,DESIRABILITY
R_7ktcint08VIZ4Gm,I allocated the same amount so that we would be even. I feel it's the most fair and reasonable if we do it that way.,SOCIALNORM
R_5vkT6uXjsUPDUno,"I do not like oatmeal, so I allocated more to her. Money is nice and can buy whatever, so I split it 50/50.",DESIRABILITY
R_10wxgS8MFVqLskE,Allocating the same proportion of money and brown sugar seems fair. I don't personally know the other participant well enough.,SOCIALNORM
R_74co1xVKtdQmAW4,"I gave my partner a lower proportion of money than brown sugar packets because the money is something that I am actually able to split. If I were to keep some of the brown sugar packets for myself, they would do me no good.",FUNGIBILITY
R_5uPu9DJpFmbAEzm,Same because we both get something in return instead of one person getting all of them and the other getting none. makes it more fair/even,SOCIALNORM
R_3re8Wk0VdJzXpjr,I gave us both the same amount of both the money and the instant oatmeal. I think that is the most fair way of going about it. There is no logical reason either one of us should get more than the other.,SOCIALNORM
R_6RfjNE7py35asmJ,"If you allocated a HIGHER proportion of money than of brown sugar oatmeal packets to the other participant, please explain why. I did this because I will always choose to keep money rather than give it away or something of value to me. The oatmeal is useless to me because I have no milk so I would even be able to make oatmeal so hopefully my friend can at least make the oatmeal.",SATIATION
R_736dYLAJNVzRCwh,I divided both equally because I believe that everyone should have an equal chance under no controls. If there are no prior circumstances it is only fair that the goods be distributed evenly.,SOCIALNORM
R_6CQgey27sm8Jeyp,I did the same proportion because I believe in sharing. There is no reason for me to keep more than half of either if there are two of us.,SOCIALNORM
R_5gTz8lWLP6dZCDJ,I allocated less money than brown sugar because I would like money because it has countless uses. The only use that brown sugar oatmeal has is eating it and I don't want to eat it.,FUNGIBILITY
R_5aUDkpl0l4ld7gI,"I allocated a lower proportion of money than brown sugar oatmeal packets to my partner because I gave him the majority of the brown sugar oatmeal because I do not like them and thought he would. We then split the money down the middle because it was mutually beneficial to both of us. Overall, he comes out with more goods than I do.",DESIRABILITY
R_3YqYhTEbNjQkYnB,I do not think it matters whether it was oatmeal or money. Splitting the money evenly is what is fair and right and therefore I am going to give us both the same.,SOCIALNORM
R_6OrJmydl0eDFR7N,I chose the same because I believe in fairness and it just so happens that a controlled environment is perfect for it. This also demonstrates good will in case I run into him again,SOCIALNORM
R_5FVnOq6N2niLjTH,I allocated the same proportion because splitting the money and brown sugar oatmeal packets evenly seemed like a fair decision.,SOCIALNORM
R_7VOBWb8p76aL4fT,"In my mind the money and the brown sugar are equal. Some may value the money more of oatmeal, and vice versus. Keeping it equal allows the chance that we will both be benefitted from this decision.",OTHER
R_31VrFxT4X1apThv,"I gave each of us the same in both scenarios. I did this because like I said in my previous explanations, the amount of value I have for oatmeal and $5 is not enough to make me give my partner less than what I was receiving.",OTHER
R_6GE5fnVYYLV7P9J,Money is valued differently than brown sugar packets. I could split the money with him because I would like $5 too. I would use the $5 and not the brown sugar packets.,FUNGIBILITY
R_5visovmegLKFM8F,"I allocated the same amount for money and brown sugar, but for different reasons. I just thought it would be fair if we both got $5 because we obviously would both want money. But for the brown sugar, I just did not think I would eat 10 packets, so I decided to give her 5 of them",SOCIALNORM
R_1Yb1nh3MFT0PbbG,"I allocated a lower proportion of money than brown sugar packets since I place more value on the money than the oatmeal packets. I like my partner, so I would've felt bad leaving her with absolutely nothing, so the 60/40 split of money seemed to make the most sense. For the oatmeal packets, since I don't place a high value on them, a 50/50 split made the most sense.",DESIRABILITY
R_7CfeJJsXE9doY5O,I allocated the same amount because I wanted to split both evenly between me and the other person. It was the fair things to do.,SOCIALNORM
R_1BbniTxZ1mwpXXz,"I allocated the same proportion for both because they are both of relatively low value. I don't feel all that strongly about wanting $5 or 5 extra oatmeal packets, so I'm happy to share them both equally.",SATIATION
R_5pgL5tslRFTMMtv,I allocated a higher proportion of money than oatmeal packets because I assumed that my partner values money far more than the oatmeal. I didn't allocate him any oatmeal because I thought he wouldn't have wanted it to begin with.,SOCIALNORM
R_65Xp6yACt6Vl2tr,Money is worth more than the packets so I gave them less money and more packets,DESIRABILITY
R_6hUWH8NAlcSKsLf,I did it to stay even. I like to keep things fair.,SOCIALNORM
R_52P9OeYQHuWG2Jv,"I wanted some for myself and I assumed that my partner would want them too, so I gave her the equal amount to be fair.",SOCIALNORM
R_1NWL4YKteSA6f4d,Allocating the same proportion of both money and oatmeal packets would make it more fair for both of us. We wouldn't need to feel bitter or jealous that one person got more than the other and there wouldn't be a morally just reason to get mad at the other person if our individual amount of the products ran out.,SOCIALNORM
R_74imBdCiemuveRq,"I allocated the same proportion. I like brown sugar oatmeal and i like money, but I think its most fair if we split both. If he needed one more than me, I would change my answer.",SOCIALNORM
R_12uqXUe7afRuGHt,"I gave the other person the same proportion of money as of brown sugar oatmeal packets because I have very little information about the other participant. If I had more information about them, such as if they liked oatmeal packets or not or information about how much money they have (if they were super rich i would take all $10)",OTHER
R_5ItGsCLbtGnj36h,"I gave a lower amount of money vs oatmeal because I feel like money is more useful than oatmeal. Both of us could use money, so I felt fair giving an even split. I gave more oatmeal because I have no need for it, and they might.",SATIATION
R_3Cfgzpc3UkqnyX6,"I feel like I would use the oatmeal packets, and without meeting this person, I decided to give them a lower proportion. I have my own kitchen and no dining plan, so the oatmeal packets would be useful.",SATIATION
R_7rZvRofzdgrEvab,I did the same proportion for each to keep things fair. There really isn't a reason to make the numbers uneven. If you do that can cause arguments over something that could just be fair.,SOCIALNORM
R_5nTR8qdHfsp5B1N,I allocated less money than oatmeal because oatmeal is not valuable to me. I do not care about the oatmeal but I would like 8 dollars.,SATIATION
R_6ZW745lUpmJxEXH,"I already explained why but the money is of use to me and the oatmeal is not. If the participant needed the money for something specific, I could change my mind but there is no evidence of that.",SATIATION
R_1oNlKzvO6qkQIRw,I did the same amount for both and split it 50/50. I did this because it seamed like the right thing to do for both items.,SOCIALNORM
R_1qUG2BGu1jHr7qQ,i gave my partner a lower proportion of money compared to oatmeal bcause i view the money as more important for myself. the money has more value in my life so i would want to keep it all,DESIRABILITY
R_5EzXVlcrKNUyQ3f,I said the same mostly based off of mine and my partner's needs. What if she needed the money or the food? I kept some for myself though because I need both the money and the food as well.,OTHER
R_6joGGi6BJN0kCf2,i allocated more oatmeal packets to my partner simply because i do not eat oatmeal. if i did i would have split them 50/50 like i split the money.,SATIATION
R_6SpNzAHTLtneDZ0,"I gave my partner 5 bills and 7 sugar packets. I gave more sugar packets because I do not necessarily like them, but everyone likes money. So I gave me and my partner an even amount.",DESIRABILITY
R_5Xxkqu43uN6gI8N,I did the same because in either case splitting 50-50 is the most equal way and fair way to distribute.,SOCIALNORM
R_3NVrfRHHDVkbB8a,"I allocated the same amount of money and oatmeal packets. Even though they are different items, the principle is the same. if one person gets more then it is unfair",SOCIALNORM
R_7rwuBZKiWQup25E,i allocated the same amount for both of them. they are both somewhat material things and since we are just two people who got the combined total we should each just take half and move on with our days,SOCIALNORM
R_3U4qs6MoQxcDN6w,I just split everything in half at 5-5. I just thought that splitting it was the fairest option.,SOCIALNORM
R_6pQA102t0EL3gXM,Giving a split amount in most things is the most fair way to go and I don't need optimal amounts of these things so splitting them is no problem with me and there should be no problems over these types of things so going in even to me is the best way possible.,SOCIALNORM
R_56P3YhzJ91TIhj3,I gave an even amount of both (50/50) split. neither are that valuable to me and I think it's fair. I would hope my partner did the same thing.,SOCIALNORM
R_17wKBxjT2yFQIWG,"I gave the same proportion of money and brown sugar because I do not know the other person's needs and would rather be equal in this exchange. If I had known their preferences and wants more, I would have given up more.",SOCIALNORM
R_52a2mT5Ujyd6SsF,"I allocated the SAME proportion of money and ballpoint pens to the other participant because it seemed like the best and fair situation. I don't know any of the other participants and I am not greedy, so this seemed like the best option.",SOCIALNORM
R_6jesfZ5JS3w47EO,"I gave more money because it's not a big deal and $10 could be helpful to someone. I chose to split the pens because pens are helpful, but having a surplus doesn't have much of a benefit.",SATIATION
R_1PuXbHrkwqFNFuN,"I mean at the end of the day the ballpoint pens and money are kind of the same. Because there's no reason to split either one a certain way, might as well split it down the middle and give each person 50%.",SOCIALNORM
R_77wnZMeYrFmliGK,"I allocated a lower proportion of money than of ballpoint pens to the other participant as I do not need any more pens, but a few dollars would be beneficial to me. If I wanted pens, I would have split it evenly. Since I did not want any pens, I gave them all away.",SATIATION
R_1owegpSVb9t0FTA,They didn't have that much value to me 10$ and 10 ballpoint pens don't hold that much value. It just made sense to split them both evenly since there was an even amount.,SOCIALNORM
R_6hB8WIyXKXQ9enL,"I allocated the same number of pens as money to myself and partner because it is to me the most logical and fair way to split something we have both been offered, even if I am the one splitting them. Also, it feels like it is the only right answer as anything else would need an explanation as to why the split was different.",SOCIALNORM
R_7GByqCGVgjkLwSY,"I gave the pens away because I do not need 10 pens, I do however need the money so I kept 9 for me and gave them 1 because I felt bad.",SATIATION
R_7ZPPWyD7LaqvKr7,I allocated the same proportion of money as ballpoint pens because it would be unfair to switch up the proportion.,SOCIALNORM
R_3Qxs4wDAJZNTrBr,"same, cause 2 people get the same quality, with no argument",SOCIALNORM
R_1Izs124gCTzLqLq,Again this is just the right thing to do.,SOCIALNORM
R_7RaFFxIPEOJoa7i,"I allocated the same proportion of money as of ballpoint pens because that is what I felt was fair. We are partners in this study, and I didn't need all of the items, so I decided we could split it.",SOCIALNORM
R_5QS4jRX3qahVSjn,"they are both things given to us regardless of how we performed/acted, and they were given  to the group. it makes sense to split it between us both evenly.",SOCIALNORM
R_5Ncn9VRWGVGo2Cl,I did the same because I would rather us both have the same amounts than one person having more than the other person,SOCIALNORM
R_5zKILD6GB8bLMXf,"I allocated the same because whether it is a monetary or random good, we are both deserving of the same amount out of fairness to each other. I would expect that my partner would do the same out of fairness that it is equal.",SOCIALNORM
R_1CaCkVfoe6JcvZv,I allocated the SAME proportion of money and ballpoint pens to the other participant because I saw no reason as to why I should take all the money or why I should take all the pens. With the money we both gained something fiscally. With the pens it made us both equally ready in case we needed them.,SOCIALNORM
R_66fh3PITLpNaKWI,I allocated the same number of money and pens because that is the right thing to do. If we are given something we should split it evenly.,SOCIALNORM
R_6BIfMXfAyE8fHm9,"no matter what the item is, i would always split evenly to ensure it is fair and everyone is as happy as can be",SOCIALNORM
R_71cIali32krfPjS,I allocated the same proportion to keep things fair and equal. I don't really care to have 5 pens but I might as well split it equally because my partner may not care to have like 9 pens for example.,SOCIALNORM
R_6IjixZHQf4wh6Fz,I allocated a lower proportion of money than ballpoint pens. This is because money has more value to me than pens.,DESIRABILITY
R_6wFSlXwjK1dhu0o,"I allocated the same because it is fair. I can see how someone may have chosen to allocate more money to themselves than pens, but overall even distribution makes the most sense to me.",SOCIALNORM
