ID,study,resource,donation,pie
z76naopl,Study 1,Money,0,10
8kefqxr0,Study 1,Money,3,10
uj7zbk3l,Study 1,Money,2,10
9523qbin,Study 1,Money,5,10
524jz5sc,Study 1,Money,0,10
255rrwfy,Study 1,Money,2,10
lcqfsp8b,Study 1,Money,4,10
z1o3j47u,Study 1,Money,1,10
xxns55ag,Study 1,Money,2,10
tbxw2pwa,Study 1,Money,0,10
mwzdprx4,Study 1,Money,1,10
o1bqfpam,Study 1,Money,3,10
56gwqmur,Study 1,Money,1,10
tyktmazp,Study 1,Coke can,2,10
k2iz90kq,Study 1,Coke can,4,10
3u67fggz,Study 1,Coke can,0,10
w0s1qtki,Study 1,Coke can,5,10
gvxsbjys,Study 1,Coke can,0,10
uv79x5bo,Study 1,Coke can,5,10
tdaj0o19,Study 1,Coke can,5,10
9sh7n0lw,Study 1,Coke can,2,10
5mu23zo1,Study 1,Coke can,0,10
42wd49th,Study 1,Coke can,2,10
0rnetymb,Study 1,Coke can,3,10
a7ggp4zq,Study 1,Coke can,5,10
zyc1d93h,Study 1,Coke can,1,10
07jvbj8j,Study 1,Coke can,2,10
cnx0pl5y,Study 1,Coke can,2,10
77pxfwtx,Study 1,Coke can,2,10
q77cra6l,Study 1,Bic pen,4,10
rjtqos88,Study 1,Bic pen,5,10
jxyumamq,Study 1,Bic pen,0,10
m9jx7577,Study 1,Bic pen,0,10
uzojfp60,Study 1,Bic pen,4,10
0ouw5fp4,Study 1,Bic pen,7,10
5agqi38e,Study 1,Bic pen,5,10
jti3ay2d,Study 1,Bic pen,4,10
bd389r1m,Study 1,Bic pen,5,10
2m2xy01m,Study 1,Bic pen,5,10
k5u4elx1,Study 1,Bic pen,3,10
ci2fiwj4,Study 1,Bic pen,3,10
fdrqp17d,Study 1,Bic pen,8,10
tsy7pya3,Study 1,Bic pen,5,10
3ob35yp1,Study 1,Bic pen,2,10
wk8j3j8a,Study 1,Bic pen,5,10
h0dkciwq,Study 1,Bic pen,0,10
s41hwoal,Study 1,Bic pen,5,10
7ob8hyqd,Study 1,Bic pen,3,10
wd6p6hat,Study 1,Bic pen,5,10
l3momwsw,Study 1,Bic pen,4,10
2ut3u9rq,Study 1,Bic pen,2,10
t13psiaz,Study 1,Money,0,10
1dxwwwrc,Study 1,Money,0,10
m7ek7rep,Study 1,Money,2,10
shpx2uuh,Study 1,Money,3,10
ctp1wu6a,Study 1,Money,5,10
qv7ncrz5,Study 1,Money,0,10
acgd3coe,Study 1,Money,2,10
mpj7l40k,Study 1,Money,0,10
z3gjkujc,Study 1,Money,0,10
x2v654u7,Study 1,Money,3,10
yr5zlab9,Study 1,Money,0,10
7hcgizzf,Study 1,Money,0,10
04rz8abq,Study 1,Money,5,10
2gmhvgvy,Study 1,Money,5,10
11nb7rps,Study 1,Money,3,10
0yp7wl9q,Study 1,Money,3,10
2925mnju,Study 1,Money,4,10
pvtq4obp,Study 1,Money,3,10
tfncumft,Study 1,Money,3,10
6wznhq7a,Study 1,Money,0,10
tqjdr4ka,Study 1,Minutes,10,10
phw2n9c4,Study 1,Minutes,0,10
pfmz8zsq,Study 1,Minutes,0,10
977vdlvz,Study 1,Minutes,7,10
rrcr2lwe,Study 1,Minutes,0,10
rr36mrxd,Study 1,Minutes,3,10
vm4rys0v,Study 1,Minutes,2,10
aw3rs1qk,Study 1,Minutes,5,10
7xd8fhh7,Study 1,Minutes,0,10
61ydz158,Study 1,Minutes,5,10
74ad9nz9,Study 1,Minutes,3,10
g7emupg5,Study 1,Minutes,2,10
s5wc1l3b,Study 1,Minutes,6,10
ksoaofp3,Study 1,Minutes,5,10
zyh88wzi,Study 1,Minutes,5,10
vvi1p9ye,Study 1,Minutes,0,10
7yi2rv1p,Study 1,Minutes,3,10
r06ctuwp,Study 1,Minutes,3,10
ed6f5uok,Study 1,Minutes,3,10
0jsc149c,Study 1,Minutes,1,10
o826fno0,Study 1,Minutes,4,10
pz1jh8nf,Study 1,Minutes,2,10
6w4u2ck2,Study 1,Minutes,5,10
0wnrm4hb,Study 1,Minutes,5,10
cenmmxqd,Study 1,Minutes,0,10
zk2ot6ow,Study 1,Minutes,0,10
fv75g5w7,Study 1,Minutes,5,10
x0wpujz3,Study 1,Minutes,2,10
m2hfzvvk,Study 1,KitKat,3,10
owuxiq18,Study 1,KitKat,4,10
qyvp6o6k,Study 1,KitKat,0,10
iz0of12s,Study 1,KitKat,0,10
b2622qo7,Study 1,KitKat,0,10
9tl30n4x,Study 1,KitKat,5,10
xh0hueex,Study 1,KitKat,0,10
ddyrmskn,Study 1,KitKat,5,10
1i0s21mj,Study 1,KitKat,5,10
8wgnfyn9,Study 1,KitKat,2,10
x69maqa0,Study 1,KitKat,4,10
tid1nbzg,Study 1,KitKat,5,10
21f05xy1,Study 1,KitKat,2,10
9ekvyb87,Study 1,KitKat,5,10
fwc1oa4t,Study 1,KitKat,0,10
igwwixlo,Study 1,KitKat,0,10
qh08clg2,Study 1,KitKat,1,10
2zz6m2il,Study 1,KitKat,0,10
uzdo5ae3,Study 1,KitKat,0,10
fbb5mwj0,Study 1,KitKat,0,10
a8ctbe82,Study 1,KitKat,0,10
bctb4gar,Study 1,KitKat,5,10
oeu12o8p,Study 1,Coke can,4,10
t6zpt78f,Study 1,Coke can,5,10
m7v1toqt,Study 1,Coke can,3,10
ji3vau6q,Study 1,Coke can,0,10
uwjx0juy,Study 1,Coke can,3,10
owzbyaif,Study 1,Coke can,2,10
cuhf50er,Study 1,Coke can,4,10
qh0b92qm,Study 1,Coke can,4,10
g0r0jj2x,Study 1,Coke can,4,10
0ao3e9lq,Study 1,Coke can,5,10
qul2tqrv,Study 1,Coke can,5,10
2ips1jl4,Study 1,Coke can,5,10
76bkgk1y,Study 1,Coke can,3,10
6oqcj3wl,Study 1,Coke can,5,10
3mdcukje,Study 1,Money,1,10
7zcyszqy,Study 1,Money,0,10
nliw48u1,Study 1,Money,0,10
7qaqfwo3,Study 1,Money,0,10
ejtji3kj,Study 1,Money,1,10
v7gu3sua,Study 1,Money,0,10
tgrqgd60,Study 1,Money,0,10
q9meur1z,Study 1,Money,0,10
h427e23s,Study 1,Money,0,10
7ypzuz32,Study 1,Money,0,10
nv3e82os,Study 1,Money,0,10
epbp778v,Study 1,Money,0,10
sp1xn2bu,Study 1,Money,5,10
stignrdy,Study 1,Money,0,10
19oel8s7,Study 1,Money,0,10
cet4765u,Study 1,Money,2,10
07uq90ge,Study 1,Money,0,10
rg4qrb25,Study 1,Money,5,10
mnzt02sm,Study 1,Money,3,10
r38hnu2q,Study 1,Money,0,10
9apavdko,Study 1,Money,0,10
1zv42l2i,Study 1,Money,0,10
ommn2dez,Study 1,Money,5,10
khlclpkw,Study 1,Money,0,10
e5l2chrb,Study 1,Money,3,10
m8jgukx8,Study 1,Money,0,10
kqfnk5a6,Study 1,Money,0,10
hm0bpqlh,Study 1,Money,0,10
a6y9ef4p,Study 1,Money,2,10
6ikmntch,Study 1,Money,0,10
7zla5ugb,Study 1,Money,5,10
100o2hlf,Study 1,Money,0,10
13n23f5i,Study 1,Money,2,10
9bwanaqz,Study 1,Money,0,10
en7ol5v3,Study 1,Money,1,10
5as6k011,Study 1,Money,4,10
bln3laua,Study 1,Money,0,10
as28j8ve,Study 1,Money,2,10
u8aqnz4m,Study 1,Money,2,10
0qxwk97n,Study 1,Money,5,10
bqsxu1xy,Study 1,Money,0,10
iv52n302,Study 1,Money,3,10
6ov9v3hx,Study 1,Money,4,10
5imbxol7,Study 1,Money,5,10
ny7pjl5v,Study 1,Money,5,10
ntahcvv0,Study 1,Money,1,10
s1c132wz,Study 1,Minutes,0,10
ox8hnfpw,Study 1,Minutes,5,10
egh938mf,Study 1,Minutes,5,10
51w2c7en,Study 1,Minutes,0,10
aiu5t33s,Study 1,Minutes,5,10
5enrece4,Study 1,Minutes,5,10
kttqoomo,Study 1,Minutes,0,10
vktc4s2a,Study 1,Minutes,4,10
ukv46jkp,Study 1,Minutes,2,10
njdhgnl6,Study 1,Minutes,5,10
e74onooy,Study 1,Minutes,0,10
7n7i5dv0,Study 1,Minutes,2,10
t2o0gt6y,Study 1,Minutes,0,10
czo7qx8t,Study 1,Minutes,4,10
4tsal1f7,Study 1,Minutes,2,10
hxzwuwnw,Study 1,Minutes,10,10
encddgz3,Study 1,Minutes,5,10
3b4ll1ez,Study 1,Minutes,5,10
9gj2t7vi,Study 1,Minutes,0,10
bf3e9e4l,Study 1,Minutes,0,10
6o75o86u,Study 1,KitKat,10,10
ebwqhbw6,Study 1,KitKat,3,10
qvpzts87,Study 1,KitKat,0,10
f8alzega,Study 1,KitKat,4,10
5x8f8n24,Study 1,KitKat,2,10
z76naopl,Study 1,KitKat,3,10
8kefqxr0,Study 1,KitKat,4,10
uj7zbk3l,Study 1,KitKat,4,10
9523qbin,Study 1,KitKat,5,10
524jz5sc,Study 1,KitKat,0,10
255rrwfy,Study 1,KitKat,0,10
lcqfsp8b,Study 1,KitKat,4,10
z1o3j47u,Study 1,KitKat,4,10
xxns55ag,Study 1,KitKat,2,10
tbxw2pwa,Study 1,KitKat,5,10
mwzdprx4,Study 1,KitKat,4,10
o1bqfpam,Study 1,KitKat,3,10
56gwqmur,Study 1,KitKat,4,10
tyktmazp,Study 1,Bic pen,3,10
k2iz90kq,Study 1,Bic pen,4,10
3u67fggz,Study 1,Bic pen,0,10
w0s1qtki,Study 1,Bic pen,3,10
gvxsbjys,Study 1,Bic pen,0,10
uv79x5bo,Study 1,Bic pen,6,10
tdaj0o19,Study 1,Bic pen,5,10
9sh7n0lw,Study 1,Bic pen,2,10
5mu23zo1,Study 1,Bic pen,5,10
42wd49th,Study 1,Bic pen,5,10
0rnetymb,Study 1,Bic pen,5,10
a7ggp4zq,Study 1,Bic pen,5,10
zyc1d93h,Study 1,Bic pen,3,10
07jvbj8j,Study 1,Bic pen,10,10
cnx0pl5y,Study 1,Bic pen,0,10
77pxfwtx,Study 1,Bic pen,2,10
q77cra6l,Study 1,Coke can,2,10
rjtqos88,Study 1,Coke can,5,10
jxyumamq,Study 1,Coke can,0,10
m9jx7577,Study 1,Coke can,0,10
uzojfp60,Study 1,Coke can,8,10
0ouw5fp4,Study 1,Coke can,7,10
5agqi38e,Study 1,Coke can,2,10
jti3ay2d,Study 1,Coke can,3,10
bd389r1m,Study 1,Coke can,5,10
2m2xy01m,Study 1,Coke can,8,10
k5u4elx1,Study 1,Coke can,4,10
ci2fiwj4,Study 1,Coke can,4,10
fdrqp17d,Study 1,Coke can,4,10
tsy7pya3,Study 1,Coke can,8,10
3ob35yp1,Study 1,Coke can,2,10
wk8j3j8a,Study 1,Coke can,1,10
h0dkciwq,Study 1,Coke can,0,10
s41hwoal,Study 1,Coke can,2,10
7ob8hyqd,Study 1,Coke can,3,10
wd6p6hat,Study 1,Coke can,5,10
l3momwsw,Study 1,Coke can,6,10
2ut3u9rq,Study 1,Coke can,3,10
t13psiaz,Study 1,KitKat,0,10
1dxwwwrc,Study 1,KitKat,5,10
m7ek7rep,Study 1,KitKat,5,10
shpx2uuh,Study 1,KitKat,5,10
ctp1wu6a,Study 1,KitKat,10,10
qv7ncrz5,Study 1,KitKat,0,10
acgd3coe,Study 1,KitKat,2,10
mpj7l40k,Study 1,KitKat,1,10
z3gjkujc,Study 1,KitKat,10,10
x2v654u7,Study 1,KitKat,2,10
yr5zlab9,Study 1,KitKat,0,10
7hcgizzf,Study 1,KitKat,0,10
04rz8abq,Study 1,KitKat,5,10
2gmhvgvy,Study 1,KitKat,4,10
11nb7rps,Study 1,KitKat,4,10
0yp7wl9q,Study 1,KitKat,5,10
2925mnju,Study 1,KitKat,4,10
pvtq4obp,Study 1,KitKat,4,10
tfncumft,Study 1,KitKat,4,10
6wznhq7a,Study 1,KitKat,0,10
tqjdr4ka,Study 1,Bic pen,10,10
phw2n9c4,Study 1,Bic pen,0,10
pfmz8zsq,Study 1,Bic pen,0,10
977vdlvz,Study 1,Bic pen,6,10
rrcr2lwe,Study 1,Bic pen,7,10
rr36mrxd,Study 1,Bic pen,7,10
vm4rys0v,Study 1,Bic pen,5,10
aw3rs1qk,Study 1,Bic pen,5,10
7xd8fhh7,Study 1,Bic pen,7,10
61ydz158,Study 1,Bic pen,8,10
74ad9nz9,Study 1,Bic pen,3,10
g7emupg5,Study 1,Bic pen,3,10
s5wc1l3b,Study 1,Bic pen,5,10
ksoaofp3,Study 1,Bic pen,5,10
zyh88wzi,Study 1,Bic pen,10,10
vvi1p9ye,Study 1,Bic pen,2,10
7yi2rv1p,Study 1,Bic pen,5,10
r06ctuwp,Study 1,Bic pen,2,10
ed6f5uok,Study 1,Bic pen,8,10
0jsc149c,Study 1,Bic pen,3,10
o826fno0,Study 1,Bic pen,5,10
pz1jh8nf,Study 1,Bic pen,4,10
6w4u2ck2,Study 1,Bic pen,4,10
0wnrm4hb,Study 1,Bic pen,7,10
cenmmxqd,Study 1,Bic pen,5,10
zk2ot6ow,Study 1,Bic pen,0,10
fv75g5w7,Study 1,Bic pen,0,10
x0wpujz3,Study 1,Bic pen,0,10
m2hfzvvk,Study 1,Minutes,0,10
owuxiq18,Study 1,Minutes,5,10
qyvp6o6k,Study 1,Minutes,0,10
iz0of12s,Study 1,Minutes,0,10
b2622qo7,Study 1,Minutes,0,10
9tl30n4x,Study 1,Minutes,5,10
xh0hueex,Study 1,Minutes,0,10
ddyrmskn,Study 1,Minutes,5,10
1i0s21mj,Study 1,Minutes,5,10
8wgnfyn9,Study 1,Minutes,2,10
x69maqa0,Study 1,Minutes,0,10
tid1nbzg,Study 1,Minutes,5,10
21f05xy1,Study 1,Minutes,2,10
9ekvyb87,Study 1,Minutes,5,10
fwc1oa4t,Study 1,Minutes,0,10
igwwixlo,Study 1,Minutes,5,10
qh08clg2,Study 1,Minutes,0,10
2zz6m2il,Study 1,Minutes,10,10
uzdo5ae3,Study 1,Minutes,0,10
fbb5mwj0,Study 1,Minutes,0,10
a8ctbe82,Study 1,Minutes,0,10
bctb4gar,Study 1,Minutes,5,10
oeu12o8p,Study 1,KitKat,5,10
t6zpt78f,Study 1,KitKat,5,10
m7v1toqt,Study 1,KitKat,3,10
ji3vau6q,Study 1,KitKat,0,10
uwjx0juy,Study 1,KitKat,4,10
owzbyaif,Study 1,KitKat,0,10
cuhf50er,Study 1,KitKat,2,10
qh0b92qm,Study 1,KitKat,3,10
g0r0jj2x,Study 1,KitKat,7,10
0ao3e9lq,Study 1,KitKat,5,10
qul2tqrv,Study 1,KitKat,5,10
2ips1jl4,Study 1,KitKat,5,10
76bkgk1y,Study 1,KitKat,1,10
6oqcj3wl,Study 1,KitKat,3,10
3mdcukje,Study 1,Coke can,3,10
7zcyszqy,Study 1,Coke can,0,10
nliw48u1,Study 1,Coke can,2,10
7qaqfwo3,Study 1,Coke can,3,10
ejtji3kj,Study 1,Coke can,3,10
v7gu3sua,Study 1,Coke can,0,10
tgrqgd60,Study 1,Coke can,0,10
q9meur1z,Study 1,Coke can,0,10
h427e23s,Study 1,Coke can,5,10
7ypzuz32,Study 1,Coke can,5,10
nv3e82os,Study 1,Coke can,5,10
epbp778v,Study 1,Coke can,3,10
sp1xn2bu,Study 1,Coke can,7,10
stignrdy,Study 1,Coke can,0,10
19oel8s7,Study 1,Coke can,10,10
cet4765u,Study 1,Coke can,5,10
07uq90ge,Study 1,Coke can,5,10
rg4qrb25,Study 1,Coke can,8,10
mnzt02sm,Study 1,Coke can,5,10
r38hnu2q,Study 1,Coke can,4,10
9apavdko,Study 1,Minutes,5,10
1zv42l2i,Study 1,Minutes,3,10
ommn2dez,Study 1,Minutes,5,10
khlclpkw,Study 1,Minutes,5,10
e5l2chrb,Study 1,Minutes,2,10
m8jgukx8,Study 1,Minutes,5,10
kqfnk5a6,Study 1,Minutes,0,10
hm0bpqlh,Study 1,Minutes,0,10
a6y9ef4p,Study 1,Minutes,3,10
6ikmntch,Study 1,Minutes,5,10
7zla5ugb,Study 1,Minutes,5,10
100o2hlf,Study 1,Minutes,0,10
13n23f5i,Study 1,Minutes,5,10
9bwanaqz,Study 1,Minutes,5,10
en7ol5v3,Study 1,Minutes,5,10
5as6k011,Study 1,Minutes,5,10
bln3laua,Study 1,Minutes,0,10
as28j8ve,Study 1,Minutes,10,10
u8aqnz4m,Study 1,Minutes,5,10
0qxwk97n,Study 1,Minutes,5,10
bqsxu1xy,Study 1,Minutes,0,10
iv52n302,Study 1,Minutes,4,10
6ov9v3hx,Study 1,Minutes,6,10
5imbxol7,Study 1,Minutes,5,10
ny7pjl5v,Study 1,Minutes,7,10
ntahcvv0,Study 1,Minutes,5,10
s1c132wz,Study 1,Bic pen,5,10
ox8hnfpw,Study 1,Bic pen,5,10
egh938mf,Study 1,Bic pen,5,10
51w2c7en,Study 1,Bic pen,4,10
aiu5t33s,Study 1,Bic pen,10,10
5enrece4,Study 1,Bic pen,5,10
kttqoomo,Study 1,Bic pen,5,10
vktc4s2a,Study 1,Bic pen,5,10
ukv46jkp,Study 1,Bic pen,0,10
njdhgnl6,Study 1,Bic pen,5,10
e74onooy,Study 1,Bic pen,0,10
7n7i5dv0,Study 1,Bic pen,1,10
t2o0gt6y,Study 1,Bic pen,5,10
czo7qx8t,Study 1,Bic pen,2,10
4tsal1f7,Study 1,Bic pen,0,10
hxzwuwnw,Study 1,Bic pen,5,10
encddgz3,Study 1,Bic pen,5,10
3b4ll1ez,Study 1,Bic pen,3,10
9gj2t7vi,Study 1,Bic pen,0,10
bf3e9e4l,Study 1,Bic pen,0,10
6o75o86u,Study 1,Coke can,10,10
ebwqhbw6,Study 1,Coke can,5,10
qvpzts87,Study 1,Coke can,5,10
f8alzega,Study 1,Coke can,4,10
5x8f8n24,Study 1,Coke can,5,10
z76naopl,Study 1,Coke can,3,10
8kefqxr0,Study 1,Coke can,4,10
uj7zbk3l,Study 1,Coke can,4,10
9523qbin,Study 1,Coke can,5,10
524jz5sc,Study 1,Coke can,0,10
255rrwfy,Study 1,Coke can,0,10
lcqfsp8b,Study 1,Coke can,4,10
z1o3j47u,Study 1,Coke can,4,10
xxns55ag,Study 1,Coke can,4,10
tbxw2pwa,Study 1,Coke can,0,10
mwzdprx4,Study 1,Coke can,2,10
o1bqfpam,Study 1,Coke can,0,10
56gwqmur,Study 1,Coke can,9,10
tyktmazp,Study 1,Minutes,2,10
k2iz90kq,Study 1,Minutes,5,10
3u67fggz,Study 1,Minutes,0,10
w0s1qtki,Study 1,Minutes,4,10
gvxsbjys,Study 1,Minutes,0,10
uv79x5bo,Study 1,Minutes,4,10
tdaj0o19,Study 1,Minutes,5,10
9sh7n0lw,Study 1,Minutes,5,10
5mu23zo1,Study 1,Minutes,0,10
42wd49th,Study 1,Minutes,5,10
0rnetymb,Study 1,Minutes,3,10
a7ggp4zq,Study 1,Minutes,5,10
zyc1d93h,Study 1,Minutes,2,10
07jvbj8j,Study 1,Minutes,0,10
cnx0pl5y,Study 1,Minutes,2,10
77pxfwtx,Study 1,Minutes,2,10
q77cra6l,Study 1,Money,0,10
rjtqos88,Study 1,Money,5,10
jxyumamq,Study 1,Money,0,10
m9jx7577,Study 1,Money,1,10
uzojfp60,Study 1,Money,0,10
0ouw5fp4,Study 1,Money,3,10
5agqi38e,Study 1,Money,0,10
jti3ay2d,Study 1,Money,3,10
bd389r1m,Study 1,Money,5,10
2m2xy01m,Study 1,Money,0,10
k5u4elx1,Study 1,Money,1,10
ci2fiwj4,Study 1,Money,2,10
fdrqp17d,Study 1,Money,0,10
tsy7pya3,Study 1,Money,5,10
3ob35yp1,Study 1,Money,1,10
wk8j3j8a,Study 1,Money,1,10
h0dkciwq,Study 1,Money,0,10
s41hwoal,Study 1,Money,0,10
7ob8hyqd,Study 1,Money,3,10
wd6p6hat,Study 1,Money,0,10
l3momwsw,Study 1,Money,2,10
2ut3u9rq,Study 1,Money,3,10
t13psiaz,Study 1,Coke can,2,10
1dxwwwrc,Study 1,Coke can,5,10
m7ek7rep,Study 1,Coke can,5,10
shpx2uuh,Study 1,Coke can,4,10
ctp1wu6a,Study 1,Coke can,10,10
qv7ncrz5,Study 1,Coke can,0,10
acgd3coe,Study 1,Coke can,2,10
mpj7l40k,Study 1,Coke can,10,10
z3gjkujc,Study 1,Coke can,10,10
x2v654u7,Study 1,Coke can,5,10
yr5zlab9,Study 1,Coke can,0,10
7hcgizzf,Study 1,Coke can,0,10
04rz8abq,Study 1,Coke can,5,10
2gmhvgvy,Study 1,Coke can,5,10
11nb7rps,Study 1,Coke can,5,10
0yp7wl9q,Study 1,Coke can,5,10
2925mnju,Study 1,Coke can,4,10
pvtq4obp,Study 1,Coke can,6,10
tfncumft,Study 1,Coke can,4,10
6wznhq7a,Study 1,Coke can,0,10
tqjdr4ka,Study 1,Coke can,10,10
phw2n9c4,Study 1,Coke can,0,10
pfmz8zsq,Study 1,Coke can,0,10
977vdlvz,Study 1,Coke can,10,10
rrcr2lwe,Study 1,Coke can,1,10
rr36mrxd,Study 1,Coke can,3,10
vm4rys0v,Study 1,Coke can,4,10
aw3rs1qk,Study 1,Coke can,10,10
7xd8fhh7,Study 1,Coke can,5,10
61ydz158,Study 1,Coke can,5,10
74ad9nz9,Study 1,Coke can,3,10
g7emupg5,Study 1,Coke can,3,10
s5wc1l3b,Study 1,Coke can,5,10
ksoaofp3,Study 1,Coke can,5,10
zyh88wzi,Study 1,Coke can,3,10
vvi1p9ye,Study 1,Coke can,1,10
7yi2rv1p,Study 1,Coke can,5,10
r06ctuwp,Study 1,Coke can,3,10
ed6f5uok,Study 1,Coke can,6,10
0jsc149c,Study 1,Coke can,2,10
o826fno0,Study 1,Coke can,5,10
pz1jh8nf,Study 1,Coke can,8,10
6w4u2ck2,Study 1,Coke can,3,10
0wnrm4hb,Study 1,Coke can,8,10
cenmmxqd,Study 1,Coke can,3,10
zk2ot6ow,Study 1,Coke can,5,10
fv75g5w7,Study 1,Coke can,0,10
x0wpujz3,Study 1,Coke can,2,10
m2hfzvvk,Study 1,Coke can,3,10
owuxiq18,Study 1,Coke can,6,10
qyvp6o6k,Study 1,Coke can,3,10
iz0of12s,Study 1,Coke can,0,10
b2622qo7,Study 1,Coke can,0,10
9tl30n4x,Study 1,Coke can,5,10
xh0hueex,Study 1,Coke can,0,10
ddyrmskn,Study 1,Coke can,5,10
1i0s21mj,Study 1,Coke can,5,10
8wgnfyn9,Study 1,Coke can,2,10
x69maqa0,Study 1,Coke can,5,10
tid1nbzg,Study 1,Coke can,5,10
21f05xy1,Study 1,Coke can,2,10
9ekvyb87,Study 1,Coke can,5,10
fwc1oa4t,Study 1,Coke can,0,10
igwwixlo,Study 1,Coke can,0,10
qh08clg2,Study 1,Coke can,1,10
2zz6m2il,Study 1,Coke can,0,10
uzdo5ae3,Study 1,Coke can,0,10
fbb5mwj0,Study 1,Coke can,0,10
a8ctbe82,Study 1,Coke can,0,10
bctb4gar,Study 1,Coke can,0,10
oeu12o8p,Study 1,Minutes,5,10
t6zpt78f,Study 1,Minutes,5,10
m7v1toqt,Study 1,Minutes,5,10
ji3vau6q,Study 1,Minutes,0,10
uwjx0juy,Study 1,Minutes,0,10
owzbyaif,Study 1,Minutes,5,10
