ID,period,resource,score,donation,ID_ses,payoff,timestamp,session,session_comment,cqtrials,age,gender,bidtissue,regrettissue,socnorm,desirability,dmu,fung,perish,bid,buy
fwc1oa4t,1,Money,49,0,238,3,2023-03-23T16:00:54Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,21,Female,0,no,6,7,7,7,1,NA,NA
igwwixlo,1,Money,49,0,609,10,2023-03-23T16:00:54Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,23,Female,0,no,5,7,5,7,1,NA,NA
qh08clg2,1,Money,39,0,300,2,2023-03-23T16:00:55Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,22,Male,0.2,no,2,7,7,7,1,NA,NA
2zz6m2il,1,Money,40,5,473,0,2023-03-23T16:00:55Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,22,Female,0,no,5,7,4,7,1,NA,NA
uzdo5ae3,1,Money,0,0,397,0,2023-03-23T16:00:56Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,29,Male,0,no,7,6,4,5,1,NA,NA
fbb5mwj0,1,Money,43,0,579,2.9,2023-03-23T16:00:56Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,18,Other,2,no,1,7,4,7,1,NA,NA
a8ctbe82,1,Money,8,0,341,2,2023-03-23T16:00:58Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",3,33,Male,0.15,no,1,5,4,5,1,NA,NA
bctb4gar,1,Money,29,1,131,4,2023-03-23T16:00:59Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,22,Female,0.2,no,5,6,7,7,1,NA,NA
oeu12o8p,1,Pen,13,5,145,0,2023-03-28T12:01:46Z,mh3kdc5t,NA,3,20,Female,0.1,no,2,7,6,6,2,0.5,FALSE
t6zpt78f,1,Pen,67,5,777,0,2023-03-28T12:01:53Z,mh3kdc5t,NA,1,22,Male,0,no,2,1,1,4,1,0.1,FALSE
m7v1toqt,1,Pen,41,7,300,0,2023-03-28T12:01:54Z,mh3kdc5t,NA,1,21,Male,0.1,no,1,1,1,1,7,0.1,FALSE
ji3vau6q,1,Pen,47,10,473,0,2023-03-28T12:01:54Z,mh3kdc5t,NA,1,22,Male,0,no,4,1,1,4,1,0,FALSE
uwjx0juy,1,Pen,42,0,904,0,2023-03-28T12:01:55Z,mh3kdc5t,NA,1,22,Male,0.4,no,1,1,1,1,2,0.5,FALSE
owzbyaif,1,Pen,30,0,110,0,2023-03-28T12:01:56Z,mh3kdc5t,NA,1,23,Male,0.3,no,6,2,3,2,4,0.4,FALSE
cuhf50er,1,Pen,56,7,536,0,2023-03-28T12:01:57Z,mh3kdc5t,NA,2,22,Male,0.2,no,3,1,3,3,4,0,FALSE
qh0b92qm,1,Pen,46,5,816,0,2023-03-28T12:01:57Z,mh3kdc5t,NA,2,21,Male,0.1,no,3,2,1,3,2,0,FALSE
g0r0jj2x,1,Pen,102,3,451,0,2023-03-28T12:01:58Z,mh3kdc5t,NA,1,18,Female,0.5,no,5,6,5,2,4,0.5,FALSE
0ao3e9lq,1,Pen,44,5,402,0,2023-03-28T12:02:00Z,mh3kdc5t,NA,1,19,Female,0,no,2,5,3,6,1,0.05,FALSE
qul2tqrv,1,Pen,67,5,103,0,2023-03-28T12:02:00Z,mh3kdc5t,NA,1,23,Female,0.1,no,6,2,4,2,3,0,FALSE
2ips1jl4,1,Pen,12,5,680,-0.6,2023-03-28T12:02:02Z,mh3kdc5t,NA,2,20,Female,1.1,yes,2,1,1,4,4,0.1,FALSE
76bkgk1y,1,Pen,36,4,752,0,2023-03-28T12:02:03Z,mh3kdc5t,NA,1,20,Female,0,no,7,2,4,6,1,0,FALSE
6oqcj3wl,1,Pen,43,4,748,0,2023-03-28T12:02:04Z,mh3kdc5t,NA,1,20,Female,0.3,no,2,5,4,6,4,0.3,FALSE
3mdcukje,1,Food,14,4,145,0,2023-03-24T10:59:49Z,xit6phor,RAS,1,20,Female,0.2,no,6,6,1,5,4,0.1,FALSE
7zcyszqy,1,Food,54,0,451,10,2023-03-24T10:59:49Z,xit6phor,RAS,1,22,Male,0,no,7,3,3,5,7,0.1,FALSE
nliw48u1,1,Food,49,2,382,10,2023-03-24T10:59:49Z,xit6phor,RAS,1,21,Female,0,no,3,4,7,1,2,0.1,FALSE
7qaqfwo3,1,Food,36,3,672,0,2023-03-24T10:59:54Z,xit6phor,RAS,1,20,Female,0.15,no,6,1,1,2,3,0.1,FALSE
ejtji3kj,1,Food,68,3,319,0,2023-03-24T10:59:55Z,xit6phor,RAS,1,27,Female,0.5,no,6,6,1,1,2,0.1,FALSE
v7gu3sua,1,Food,92,0,615,10,2023-03-24T10:59:55Z,xit6phor,RAS,1,20,Male,0,no,1,6,2,4,7,1.2,FALSE
tgrqgd60,1,Food,50,2,397,10,2023-03-24T10:59:58Z,xit6phor,RAS,1,22,Female,0.25,no,7,7,7,7,7,0.5,FALSE
q9meur1z,1,Food,43,0,259,10,2023-03-24T10:59:58Z,xit6phor,RAS,2,20,Male,0.2,no,4,5,1,2,7,0.2,FALSE
h427e23s,1,Food,13,2,281,0,2023-03-24T11:00:01Z,xit6phor,RAS,3,27,Female,0.3,no,2,2,2,4,2,0,FALSE
7ypzuz32,1,Food,30,5,893,0,2023-03-24T11:00:01Z,xit6phor,RAS,1,27,Male,0,no,7,1,4,1,1,0,FALSE
nv3e82os,1,Food,36,2,110,0,2023-03-24T11:00:01Z,xit6phor,RAS,1,18,Female,0,no,6,7,3,1,4,1.1,FALSE
epbp778v,1,Food,26,5,131,0,2023-03-24T11:00:03Z,xit6phor,RAS,1,24,Male,0,no,5,3,3,3,5,0.2,FALSE
sp1xn2bu,1,Food,31,5,473,5,2023-03-24T11:00:04Z,xit6phor,RAS,2,21,Male,0.5,no,6,3,4,2,7,0.5,FALSE
stignrdy,1,Food,41,0,634,4.4,2023-03-24T11:00:04Z,xit6phor,RAS,1,20,Female,0.8,yes,4,6,6,1,3,0.5,FALSE
19oel8s7,1,Food,43,2,103,10,2023-03-24T11:00:05Z,xit6phor,RAS,2,20,Other,0.2,no,5,2,3,1,6,0.3,FALSE
cet4765u,1,Food,37,2,579,8,2023-03-24T11:00:07Z,xit6phor,RAS,3,23,Male,0.3,no,3,2,2,2,4,0,FALSE
07uq90ge,1,Food,82,3,523,10,2023-03-24T11:00:07Z,xit6phor,RAS,2,22,Other,0.2,no,6,7,7,1,7,0.2,FALSE
rg4qrb25,1,Food,43,5,300,0,2023-03-24T11:00:08Z,xit6phor,RAS,2,25,Female,0.1,no,5,3,6,2,3,0,FALSE
mnzt02sm,1,Food,20,6,238,2,2023-03-24T11:00:08Z,xit6phor,RAS,1,31,Female,0.1,no,1,2,2,1,7,0,FALSE
r38hnu2q,1,Food,45,2,157,10,2023-03-24T11:00:10Z,xit6phor,RAS,2,29,Female,0,no,7,5,1,1,7,0.1,FALSE
9apavdko,1,Pen,73,0,217,9.4,2023-03-24T13:00:57Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,23,Male,1.1,no,5,4,2,5,2,0.15,FALSE
1zv42l2i,1,Pen,31,3,157,4.4,2023-03-24T13:01:03Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,20,Female,0.6,no,7,2,1,3,1,0.4,FALSE
ommn2dez,1,Pen,46,0,536,5,2023-03-24T13:01:04Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",3,23,Other,0.1,no,2,1,4,4,1,0.1,FALSE
khlclpkw,1,Pen,39,5,893,10,2023-03-24T13:01:05Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,22,Female,0,no,4,5,4,3,3,0.2,FALSE
e5l2chrb,1,Pen,64,3,238,0,2023-03-24T13:01:05Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,20,Female,0.5,no,3,1,4,3,2,0.1,FALSE
m8jgukx8,1,Pen,65,0,145,10,2023-03-24T13:01:05Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,22,Female,0.1,no,6,1,4,7,5,0.1,FALSE
kqfnk5a6,1,Pen,19,5,523,3,2023-03-24T13:01:06Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,23,Female,0.1,no,5,4,4,2,6,0,FALSE
hm0bpqlh,1,Pen,19,0,103,5,2023-03-24T13:01:06Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,20,Female,0,no,7,5,1,6,3,0,FALSE
a6y9ef4p,1,Pen,60,5,300,0,2023-03-24T13:01:06Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,21,Male,0.4,no,6,3,4,3,3,0.3,FALSE
6ikmntch,1,Pen,47,9,319,2,2023-03-24T13:01:07Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,21,Female,0.1,no,5,1,1,1,5,0,FALSE
7zla5ugb,1,Pen,66,5,825,5,2023-03-24T13:01:07Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,21,Male,0.4,no,5,5,2,6,2,0.2,FALSE
100o2hlf,1,Pen,50,5,451,10,2023-03-24T13:01:07Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,21,Female,0,no,4,1,4,2,3,0,FALSE
13n23f5i,1,Pen,53,5,131,8,2023-03-24T13:01:07Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,22,Male,0.1,no,6,3,1,5,2,0.3,FALSE
9bwanaqz,1,Pen,53,5,382,10,2023-03-24T13:01:08Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,21,Female,0.2,no,4,3,4,5,1,0,FALSE
en7ol5v3,1,Pen,46,5,473,0,2023-03-24T13:01:09Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,20,Female,0,no,1,4,4,1,7,0,FALSE
5as6k011,1,Pen,50,5,672,4,2023-03-24T13:01:10Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",2,20,Female,0,no,3,3,4,2,7,0,FALSE
bln3laua,1,Pen,93,5,634,10,2023-03-24T13:01:10Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",3,21,Female,0,no,6,1,4,7,7,0,FALSE
as28j8ve,1,Pen,18,8,864,0,2023-03-24T13:01:13Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,22,Male,0.1,no,6,1,1,4,5,0.3,FALSE
u8aqnz4m,1,Pen,14,4,579,-0.6,2023-03-24T13:01:14Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",3,19,Male,1.5,yes,4,3,1,4,4,0.3,FALSE
0qxwk97n,1,Pen,106,5,402,4.4,2023-03-24T13:01:15Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",2,23,Female,0.9,no,1,7,5,4,7,0.2,FALSE
bqsxu1xy,1,Pen,19,0,615,5,2023-03-24T13:01:15Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,22,Male,0.2,no,3,7,4,7,4,0.6,FALSE
iv52n302,1,Pen,55,5,259,7,2023-03-24T13:01:15Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,23,Female,0.5,no,6,3,2,1,1,0.8,FALSE
6ov9v3hx,1,Pen,77,5,397,6,2023-03-24T13:01:15Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",2,22,Female,0.1,no,5,2,2,1,1,0.5,FALSE
5imbxol7,1,Pen,21,5,281,-0.6,2023-03-24T13:01:15Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",2,24,Female,0.8,no,3,4,4,4,4,1.2,FALSE
ny7pjl5v,1,Pen,85,5,341,1,2023-03-24T13:01:21Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",1,19,Female,0.4,no,4,3,2,5,3,0.5,FALSE
ntahcvv0,1,Pen,38,1,110,9,2023-03-24T13:01:22Z,c6w8j4tc,"579 sujet assez louche, limite drogué, il nous a volé une canette et un kitkat en fin de session...",2,27,Male,0.5,no,7,1,1,3,1,0.5,FALSE
s1c132wz,1,Water,30,2,259,0,2023-03-27T08:00:15Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,21,Male,0.4,no,4,6,5,2,6,0.3,FALSE
ox8hnfpw,1,Water,20,5,523,-0.6,2023-03-27T08:00:16Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,24,Female,0.8,no,6,3,2,1,7,0.1,FALSE
egh938mf,1,Water,37,5,777,0,2023-03-27T08:00:18Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,3,24,Female,0.1,no,7,2,1,1,5,0.2,FALSE
51w2c7en,1,Water,49,2,451,-0.6,2023-03-27T08:00:18Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,22,Male,1.1,no,5,6,3,5,6,0.9,FALSE
aiu5t33s,1,Water,47,10,397,0,2023-03-27T08:00:19Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,22,Male,0.25,no,2,1,4,1,7,0,FALSE
5enrece4,1,Water,55,5,825,0,2023-03-27T08:00:19Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,23,Other,0.5,no,3,6,4,3,6,0.8,FALSE
kttqoomo,1,Water,45,5,382,0,2023-03-27T08:00:20Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,20,Female,0.1,no,5,2,1,2,5,0.1,FALSE
vktc4s2a,1,Water,43,5,281,0,2023-03-27T08:00:21Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,22,Female,0.2,no,5,2,1,1,4,0.4,FALSE
ukv46jkp,1,Water,43,0,341,-0.6,2023-03-27T08:00:21Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,22,Male,1.89,yes,3,1,1,1,1,0.4,FALSE
njdhgnl6,1,Water,72,10,131,0,2023-03-27T08:00:21Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,25,Other,0.05,no,7,1,1,1,7,0,FALSE
e74onooy,1,Water,58,0,634,0,2023-03-27T08:00:22Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,20,Male,0,no,5,6,6,4,3,0,FALSE
7n7i5dv0,1,Water,11,4,157,-0.6,2023-03-27T08:00:22Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,3,28,Female,1,no,4,3,4,4,4,0.6,FALSE
t2o0gt6y,1,Water,67,4,473,0,2023-03-27T08:00:23Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,20,Male,0.2,no,7,2,1,2,4,0.3,FALSE
czo7qx8t,1,Water,51,2,103,0,2023-03-27T08:00:23Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,20,Female,0.2,no,7,2,5,2,7,0.3,FALSE
4tsal1f7,1,Water,9,1,816,-0.6,2023-03-27T08:00:24Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,24,Female,0.7,no,1,4,4,1,1,0.7,FALSE
hxzwuwnw,1,Water,10,5,110,0,2023-03-27T08:00:26Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,39,Female,0.3,no,4,2,4,2,7,0.5,FALSE
encddgz3,1,Water,41,5,402,0,2023-03-27T08:00:26Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,3,21,Female,0.4,no,4,2,2,3,4,0.3,FALSE
3b4ll1ez,1,Water,80,3,615,0,2023-03-27T08:00:27Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,1,22,Female,0.3,no,6,6,2,1,7,0.8,FALSE
9gj2t7vi,1,Water,42,0,579,0,2023-03-27T08:00:28Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,2,18,Male,0.2,no,6,3,1,4,7,0.7,FALSE
bf3e9e4l,1,Water,0,0,238,0,2023-03-27T08:00:40Z,c9vreust,subject 157 had some comprehension problems because not knowing French well. Subject 238 never inputted any word anywhere.,3,36,Female,0.1,no,4,2,2,2,7,0.7,FALSE
6o75o86u,1,Money,73,1,609,9,2023-03-27T10:00:58Z,qwt60r6b,NA,2,26,Female,0.1,no,5,6,4,7,2,NA,NA
ebwqhbw6,1,Money,57,0,238,2,2023-03-27T10:00:59Z,qwt60r6b,NA,1,24,Female,0.2,no,2,7,5,7,2,NA,NA
qvpzts87,1,Money,15,2,615,3,2023-03-27T10:00:59Z,qwt60r6b,NA,3,18,Male,0.3,no,7,7,6,7,2,NA,NA
f8alzega,1,Money,62,4,402,5.4,2023-03-27T10:01:00Z,qwt60r6b,NA,1,20,Female,0.6,no,5,5,6,7,2,NA,NA
5x8f8n24,1,Money,7,0,259,1.4,2023-03-27T10:01:00Z,qwt60r6b,NA,1,21,Male,0.7,no,1,4,7,6,4,NA,NA
z76naopl,1,Money,61,0,103,1,2023-03-27T10:01:00Z,qwt60r6b,NA,2,18,Male,0.2,no,3,6,7,7,3,NA,NA
8kefqxr0,1,Money,35,3,680,7,2023-03-27T10:01:01Z,qwt60r6b,NA,1,25,Male,0.2,no,3,6,5,7,2,NA,NA
uj7zbk3l,1,Money,18,2,157,0,2023-03-27T10:01:01Z,qwt60r6b,NA,2,19,Female,0.3,no,7,6,4,7,1,NA,NA
9523qbin,1,Money,70,5,300,5,2023-03-27T10:01:01Z,qwt60r6b,NA,2,18,Female,0.1,no,6,5,5,7,2,NA,NA
524jz5sc,1,Money,24,0,904,4,2023-03-27T10:01:01Z,qwt60r6b,NA,1,19,Female,0.5,no,3,7,7,7,5,NA,NA
255rrwfy,1,Money,60,2,451,8,2023-03-27T10:01:01Z,qwt60r6b,NA,3,21,Female,0.1,no,3,7,7,7,1,NA,NA
lcqfsp8b,1,Money,45,4,777,5.4,2023-03-27T10:01:02Z,qwt60r6b,NA,1,18,Female,0.9,yes,6,5,6,5,2,NA,NA
z1o3j47u,1,Money,66,1,752,9,2023-03-27T10:01:02Z,qwt60r6b,NA,3,21,Female,0.1,no,2,7,3,7,1,NA,NA
xxns55ag,1,Money,32,2,473,8,2023-03-27T10:01:02Z,qwt60r6b,NA,1,18,Female,0.1,no,6,7,6,7,2,NA,NA
tbxw2pwa,1,Money,38,0,536,10,2023-03-27T10:01:04Z,qwt60r6b,NA,1,17,Male,0.2,no,7,7,7,7,1,NA,NA
mwzdprx4,1,Money,42,1,319,5,2023-03-27T10:01:06Z,qwt60r6b,NA,1,18,Male,0.1,no,7,6,4,7,2,NA,NA
o1bqfpam,1,Money,22,3,131,3.4,2023-03-27T10:01:06Z,qwt60r6b,NA,1,21,Female,1,no,5,7,5,6,5,NA,NA
56gwqmur,1,Money,44,1,672,1,2023-03-27T10:01:07Z,qwt60r6b,NA,1,18,Female,0.5,no,4,5,5,5,7,NA,NA
tyktmazp,1,Water,14,2,397,-0.6,2023-03-27T11:59:55Z,1kvadbae,NA,3,21,Female,1.5,no,5,3,5,1,7,0.8,FALSE
k2iz90kq,1,Water,40,4,609,0,2023-03-27T12:00:03Z,1kvadbae,NA,1,21,Male,0.1,no,6,5,3,1,6,0.6,FALSE
3u67fggz,1,Water,70,0,473,0,2023-03-27T12:00:05Z,1kvadbae,NA,1,20,Female,0.1,no,1,7,4,7,2,0.4,FALSE
w0s1qtki,1,Water,32,5,536,0,2023-03-27T12:00:06Z,1kvadbae,NA,1,20,Female,0.1,no,6,4,4,4,4,0.3,FALSE
gvxsbjys,1,Water,37,0,777,0,2023-03-27T12:00:07Z,1kvadbae,NA,1,19,Female,0.2,no,5,1,1,1,1,0.5,FALSE
uv79x5bo,1,Water,32,5,672,-0.6,2023-03-27T12:00:08Z,1kvadbae,NA,1,20,Female,0.6,no,5,6,4,2,4,0.5,FALSE
tdaj0o19,1,Water,65,5,680,-0.6,2023-03-27T12:00:08Z,1kvadbae,NA,1,19,Female,0.8,no,4,3,4,1,7,0.3,FALSE
9sh7n0lw,1,Water,25,2,281,0,2023-03-27T12:00:08Z,1kvadbae,NA,1,23,Male,0.5,no,2,5,5,1,3,0.8,FALSE
5mu23zo1,1,Water,25,0,748,0,2023-03-27T12:00:08Z,1kvadbae,NA,1,22,Male,0.05,no,5,7,7,1,6,0.8,FALSE
42wd49th,1,Water,27,2,131,0,2023-03-27T12:00:08Z,1kvadbae,NA,1,22,Female,0,no,4,5,3,2,1,0.3,FALSE
0rnetymb,1,Water,31,3,752,0,2023-03-27T12:00:10Z,1kvadbae,NA,1,21,Female,0.2,no,6,4,2,4,7,0.4,FALSE
a7ggp4zq,1,Water,43,5,300,0,2023-03-27T12:00:10Z,1kvadbae,NA,1,20,Female,0.2,no,6,3,3,1,4,0.3,FALSE
zyc1d93h,1,Water,59,1,103,0,2023-03-27T12:00:10Z,1kvadbae,NA,1,20,Female,0.5,no,6,5,1,1,7,0.6,FALSE
07jvbj8j,1,Water,55,2,825,0,2023-03-27T12:00:11Z,1kvadbae,NA,1,20,Female,0,no,5,5,5,1,7,0.2,FALSE
cnx0pl5y,1,Water,30,2,157,0,2023-03-27T12:00:15Z,1kvadbae,NA,2,21,Female,0.2,no,5,6,5,5,7,0.5,FALSE
77pxfwtx,1,Water,30,2,904,0,2023-03-27T12:00:16Z,1kvadbae,NA,2,22,Female,0,no,5,3,4,4,7,0,FALSE
q77cra6l,1,Pen,35,4,904,0,2023-03-27T14:02:36Z,jtfig3oe,subject number 672 did not really speak French!,2,19,Female,0.1,no,4,4,4,3,1,0.1,FALSE
rjtqos88,1,Pen,70,5,752,0,2023-03-27T14:02:43Z,jtfig3oe,subject number 672 did not really speak French!,1,23,Female,0,no,1,4,1,2,3,0.1,FALSE
jxyumamq,1,Pen,152,0,777,0,2023-03-27T14:02:43Z,jtfig3oe,subject number 672 did not really speak French!,1,21,Male,0.1,no,5,1,2,2,1,0,FALSE
m9jx7577,1,Pen,47,0,319,-0.6,2023-03-27T14:02:44Z,jtfig3oe,subject number 672 did not really speak French!,2,22,Male,1,no,6,2,1,1,1,0.5,FALSE
uzojfp60,1,Pen,46,4,103,-2.5,2023-03-27T14:02:44Z,jtfig3oe,subject number 672 did not really speak French!,2,20,Female,0.8,no,6,4,4,1,7,1.1,FALSE
0ouw5fp4,1,Pen,57,7,748,0,2023-03-27T14:02:44Z,jtfig3oe,subject number 672 did not really speak French!,2,19,Female,0,no,7,2,2,2,2,0,FALSE
5agqi38e,1,Pen,43,5,609,0,2023-03-27T14:02:45Z,jtfig3oe,subject number 672 did not really speak French!,1,20,Female,0.1,no,1,1,3,5,1,0.3,FALSE
jti3ay2d,1,Pen,24,4,110,0,2023-03-27T14:02:45Z,jtfig3oe,subject number 672 did not really speak French!,1,20,Male,0.5,no,6,5,5,4,2,0.4,FALSE
bd389r1m,1,Pen,65,5,402,0,2023-03-27T14:02:45Z,jtfig3oe,subject number 672 did not really speak French!,2,31,Female,0.1,no,5,4,2,2,1,0.2,FALSE
2m2xy01m,1,Pen,32,5,238,0,2023-03-27T14:02:46Z,jtfig3oe,subject number 672 did not really speak French!,1,18,Female,0.1,no,4,3,1,5,1,0.9,FALSE
k5u4elx1,1,Pen,35,3,157,0,2023-03-27T14:02:46Z,jtfig3oe,subject number 672 did not really speak French!,2,19,Female,0.45,no,5,4,1,5,2,0.3,FALSE
