ID,explain_nonmoney
R_5HTSf1aFRRdFXFc,"I like oatmeal, but I'm not sure if she also likes oatmeal. Its best to just split it evenly at first, and if she doesn't like it, she could just give it to me."
R_6pfP0c4WEQwnAwY,"Same here, i divided the packets 505-0 so we each got 5. since I dont know my partner well at all, like if she likes or doesnt like oatmeal, if shes in need to food, etc., spliting in half seemed resonable and fair"
R_1BlChKHfQNZPS1y,"I am not the biggest fan of brown sugar oatmeal, so I decided to allocate more to my partner who may be a bigger fan. I think they was not point in splitting it evenly if I don't like it as much."
R_7WwszGq6tEjVUVX,"I gave my research lab partner all ten packets of brown sugar oatmeal packets, as I do not like instant oatmeal or individually portioned oatmeal. I would much rather have a tub of oatmeal to make myself, especially since I do not eat oatmeal often."
R_58M77OJw85aGRXI,"Again, i just wanted to be fair. I do not know what i would do with these packets but i wanted to be fair."
R_3ffRyxYhBevSK0z,Same as what I wrote above!
R_3g8ywbBwsGReQ0x,"I do not love oatmeal, and I figured since I don't my partner might so therefore I gave myself 2 and them 8 because I know I won't eat more than 2 and there is a chance my partner may really like oatmeal and want all 8."
R_3IC4dkEJ2DlJEVr,"I am a big fan of oatmeal as I eat it every day for breakfast. However my partner might like oatmeal, so I'd give her some but not a lot just in case she doesn't like oatmeal."
R_5Ey4DwBATJke6Xb,I don't care much about brown sugar oatmeal packets and so would just split them evenly. I have no reason to take any or give any extra.
R_7q1Fl3JSIVn3kxp,They are my partner and i would just split the packets in half with them if i was getting them for free.
R_1OoSljyK7oOTmJw,It only seems fair to give each of us five. Since we don't know each other well it makes it simpler to just split them.
R_6FEfys9CdrrQMm6,I have no use for brown sugar oatmeal packets. I would not eat them so maybe she would like them.
R_6kBW992pcIZrEH8,it is fair. My partner has good vibes.
R_3rpQNSlG3HVyfD3,"I decided to make it even because I wanted it to be fair, and I don't really enjoy brown sugar oatmeal too much."
R_6ldGa33LJQFHEmB,"Well, im not paired with anyone but if i were to be, I don't need 10 packs to myself. im trying to lean out right now, get that six pack right so I Wouldn't mind sharing some protein with someone"
R_3y4QwJmQv4tdSp3,"I decided to give her 9 packets and myself 1. I don't like oatmeal, so I have no use for them and thought she would want them (if she likes oatmeal). I gave myself one, though, to try hypothetically."
R_3EAGK3B0XohFw8P,"I actually just love oatmeal. So, I tried to be fair but took an extra packet for myself. Maybe my partner doesn't like oatmeal, so it'd go to waste."
R_3f6Cv41aqHs4bTm,"I would want the brown sugar oatmeal packets, but if my partner also wants them, I would want to split them equally."
R_6ON2HbvTAVaPGe1,I chose to give all of the oatmeal packets to my partner because I am allergic to oatmeal. I am unable to eat oatmeal.
R_63wCU7gNPmkiSv4,I do not enjoy brown sugar packets very much but will still appreciate them as something I could make in the future. I gave myself 4 and my partner 6 because I would not use any more than 4 packets.
R_1gT2ErxLXwPFSxt,I split it 50 50. It didnt say why to split it so that is the most even way to do it.
R_1JLzWhrk9YuPtLs,"I have her 8 and myself 2. Personally, I am not a big oatmeal fan, so I wanted her to get the opportunity to enjoy them as I would not."
R_7HRdvtd1YbBWwed,"Something like food feels a lot less abrupt to share with a stranger. I would be comfortable offering him some (1, but maybe more depending on the vibes) just as a friendly gesture, but I would honestly choose to keep most of the oatmeal as it is one of my common breakfast foods."
R_3Y2NMzaevqx8wbB,I mean since I am given the task to distribute the given product that I got for free and has cost me no liabilities I think it would only be fair to evenly distribute it to the other member who also is participating.
R_1o4HakvLg9bcfsc,"I think that 5 each is the most simple and fair way to distribute the brown sugar oatmeal packets. If I had any more, I would probably end up getting sick of it anyways."
R_3uK76hEd1Hdaiui,I thought it was only fair to give her half. It would be selfish for me to take all of the oatmeal
R_3dQc2WIfRWz40eT,"I dont need that many, give the rest to my partner."
R_1FIrccdG1FuTrAi,"Again, I split them evenly because that is what's fair. If my partner afterwards decides he isn't hungry and doesn't want all 5, then we can sort that out after they are distributed."
R_6K2sbpej2C9llZ2,"I gave myself 4 packets while giving the other participant 6 sugars because we still get a good number of packets where we both can be satisfied, and my preference is not that specific product, so I won't enjoy it as much as the other participant may which is why I gave them more."
R_6QrT6vn1XXRYCtk,i dont like oatmeal so 50/50 but if he wants more he can just have mine
R_7im1zR6fJdDkb2w,"I allocated 5 brown sugar oatmeal packets to myself and 5 to my partner because I believe that is fair to split the 10 packets evenly between the both of us. I would always try to split something evenly between us, and if there was an odd amount of packets, then I would happily take less and give more."
R_3ghgAICsL5S4Cld,"I think it is only fair if we share them equally. Even if she does not like them, she worked as hard as me and therefore deserves the same. If she does not like them, she can give them to someone else and she seems very nice."
R_7mn1yBYp9J9XI0U,I gave this amount to the other participant because I do not eat oatmeal. I figured it would go to better use if they had it.
R_5frwFXWxmKD5aMK,"I allocated 5 brown sugar oatmeal packets for each of us because I do not eat a lot of oatmeal. I wouldn't want more than a few oatmeal packets, so I thought I would share them with my partner. Maybe she likes oatmeal, and if not she would also only be receiving 5 packets."
R_3CK3AtTQQYIsmxX,I thought that both my partner and I would enjoy brown sugar oatmeal which is why I decided to allocate half and half to each of us so we would be able to enjoy the oatmeal. Making the distribution even ensures that we both get the equal ability to consume and enjoy the oatmeal.
R_1y7mXBCWma7EFyd,Because this is an expendable good and I think giving equal amounts is fair. She seems nice so I'm inclined to give more.
R_1JJgR09cPInpzdC,"Because I don't see a lot of value in brown sugar oatmeal packets but I would still make use of them, but I am willing to split them with the participant I was paired with"
R_3DI77O1x2wMbvJ8,i have never had oatmeal because i dont think i would like it so i just wanted one pack so i could try it and then the rest give to my partner because they may get more use out of it
R_5kN8Rgf2QiGNPle,"I don't think that myself or my partner care too much about oatmeal. If I knew him well enough to know if he likes oatmeal or not, my answer would have changed."
R_6uyoSXGGlqDUMwc,I decided to give my partner all 10 sugar oatmeal packets because I do not like oatmeal at all. Therefore I thought he would like all of them cause I did want them to go to waste.
R_1MkTKIO1gnol6Fj,I gave 5 to the each of us to keep it even.
R_5nIpN89BRbgRezs,I allocated 5 brown sugar oatmeal packets to the other participant and 5 to me because it is a fair split of the total packets given to me. We should both get the same amount unless the other participant needs it more than I do.
R_30Yj3pfG4qI5Da5,We would just split it 5 and 5. I don't need more than 5 and I think we would both be happy getting 5.
R_1sn5eY5Qye5YaxX,"I enjoy brown sugar oatmeal and when I make it I always use 2 packs of it, so having 5 packs at an even split would cause me to have an odd number, so I would rather give myself one extra and leave the other person with 4 so that we both have an even amount."
R_6ODlj4TDsokLso9,"5,5 its more balance"
R_7n00Pw4LDGVWMKb,"I don't like brown sugar oatmeal, so I'd be willing to give mine away to someone who might want them more than me. I don't want to waste the food but I'd also likely never have that many to begin with to where I'd need to share with someone else."
R_5mfxndJ1u3TKPgp,"I do not like oatmeal. I am not sure if my partner likes oatmeal, but I certainly don't."
R_3gSpV7ziUO4TrEJ,I think it will be beneficial if we both got an equal amount of food
R_1ruMd8AM8feoZEm,I indicated that I would give 5 to myself and 5 to my research partner. I mean its only fair if we both get half of what I can give out. Anymore or any less would be rude to one or the other person.
R_3bAgvOTfQNJnqb7,"I would evenly distribute them. I know I like oatmeal, but I did not ask her if she does so I am just assuming she likes oatmeal."
R_7QN5ue63VAznD0Z,"Again, I evenly split the oatmeal packets. I do not know this other pesron at all. I do not want to deprive them of something they may want. Considering I also want this, I do not want to short myself either, as I owe this other person nothing."
R_1pWVAAU80QPcUBT,I gave the participant half of the brown sugar oatmeal packets for two reasons. One was just because I'm not a huge fan of sugary things and also splitting halfway is the best method to do without an argument.
R_78WnPKQIrMvVAgV,Everthing should be shared.
R_3Xo0R7JymO7WI1Q,"Again, I chose to split the packets evenly. This way everything is fair."
R_66Fe9DjsUy62iC5,I would give each of us 5 because we were partners and both deserve and equal amount.
R_7rIx4NE1YvJbKNP,"I allocated this proportion because I felt that splitting the amount in half was fair. I did not know if my partner liked this food but if they did, I would want them to have the same amount"
R_7tgwxRyIU4w5V2o,i gave myself 5 because my girlfriend would really like them for breakfast. I gave grace 5 because she might like it too
R_1QqsXpP9BS7PxxT,I felt like it would be unfair to be handed 10 packets of oat meal and keep it all to myself. So I decided to split it 50/50
R_7EbPJtl1D1NeM32,I split the oatmeal packet evenly between my partner and I because that is the fairest option. I do not believe that I should receive more than her or vice versa.
R_50jE5ibMCCgpohN,I choose the number of oatmeal packets that each of us got following the same principle that I used in order to divvy up the money. I figured that a even 50/50 split where we both got five would be the fairest outcome.
R_5rCbe489DYpORJ4,"I chose to keep 4 because I don't really eat oatmeal but I didn't want to be unfair, so I stayed close to an even split. I feel like someone would not care if they received oatmeal or not."
R_1MF1uztVU6wmuf9,"On the flip side, I am not a big fan of brown sugar oatmeal. I gave her more to eat, now I got money for something I want to eat."
R_6OqymTybSiJXvxy,i do not particularly want or need the oatmeal packets so I gave her 6 and gave myself 4. I also can not eat oatmeal so I would be getting it for my roommates
R_3O6AamvSnjgLLoi,split even
R_6m4xma0yspfHysF,I gave the other participant all 10 brown sugar oatmeal packets because I would never use them. I figured the other participant would have better use for them or know someone else who would want them.
R_14c3DJ1WgORhZkZ,"Since I am not sure what we need the packets for, I would divide them evenly. It would not make sense to give more either way."
R_7foMaPI01qgv2v4,"I allocated this amount to the other person for multiple reasons. First, I do not consume sugar frequently. This makes me owning this sugar a complete and total waste. Second, I am allergic to gluten, soy, wheat, and dairy. This makes it challenging for me to use this sugar. Finally, I somewhat believe that sugar isn't healthy."
R_7S8qbgCyptzywG9,"I allocated them evenly because I don't have a need for 10 packets of brown sugar oatmeal. Also, it is fair to split it evenly."
R_1kGIL02BSmq29QI,I dont know if I like it. Plus 10 is a lot so why not share
R_52XAnmwZjuTAocQ,"Same logic, just gave them half. I don't know this person very well, maybe I like oatmeal more than them, but I don't know that so I just gave them half."
R_6IPUtF9QjuOQL5v,evenly because that is fair.
R_6f47OOirQQvytKm,"I did a 3/7 ratio for brown sugar packets of oatmeal because I would only want 3. I don't particularly like oatmeal, and I wouldn't want it to go to waste by going to me. There's probably a better chance of the other participant liking it than me. I chose the number 3 because I didn't want her to be stuck with either 10,9, or 8 packets, as that would be too much in case, the other participant didn't like them."
R_3lvoEbsMb6RymwV,These oatmeal packets do not have much value to me. It is worth more to share then to keep myself.
R_7eVkfq1XQMEF9jr,"I don't love brown sugar oatmeal packets but they are healthy, so I feel it would be best to split it evenly. It is fair and will benefit both of us if we get the same amount."
R_7ktcint08VIZ4Gm,I thought it was fair if we both get the same amount. I don't need any more than half.
R_5vkT6uXjsUPDUno,"I do not like brown sugar oatmeal. So, I hope my paired partner does that is why I gave her 10."
R_10wxgS8MFVqLskE,I think its fair to equally split the sugar oatmeal packets.
R_74co1xVKtdQmAW4,"I gave the other person all the brown sugar oatmeal packets because I am allergic to them. Hence, it would do them better to have than me."
R_5uPu9DJpFmbAEzm,I put that we would each get 5 oatmeal packets. So that we each gets the same amount.
R_3re8Wk0VdJzXpjr,"I dont know how much my partner likes oatmeal, nor do they know how much I like it. So in the interest of fairness I gave us the same amount."
R_6RfjNE7py35asmJ,i do not really eat oatmeal. I don't even have milk so this item would be useless to me.
R_736dYLAJNVzRCwh,"I do not see the need for 10 brown sugar oatmeal packets for myself. Taking them, all would be greedy, and I don't even like oatmeal that much."
R_6CQgey27sm8Jeyp,I split the oatmeal in half because it was the only way to split it fairly. Any other way is rude.
R_5gTz8lWLP6dZCDJ,"I don't like brown sugar oatmeal, so I don't want any. The other participant might enjoy it more than I would."
R_5aUDkpl0l4ld7gI,"I do not like brown sugar oatmeal. I think my partner does, so my guess is that he would want the majority of them if I didn't."
R_3YqYhTEbNjQkYnB,It is only fair that without knowing anything about the other person that we split the oatmeal up evenly. I do not have any knowledge or reason to take more or less than what we are both owed.
R_6OrJmydl0eDFR7N,Because I don't care too much about having them but they're nice to have in case. But he might like them so I would give him half to be nice.
R_5FVnOq6N2niLjTH,"Despite my fondness of brown sugar oatmeal packets, I feel morally obligated to at least split the packets evenly between the two of us. This is a fair decision in my opinion."
R_7VOBWb8p76aL4fT,"For myself I would not need 10 packets of oatmeal. I was thinking the same as the prior, by keeping it fair and splitting it down the middle. As maybe my paired partner likes brown sugar oatmeal."
R_31VrFxT4X1apThv,"I gave each of us 5 brown sugar oatmeal packets. I did this because I don't really care to much about oatmeal, but it is still food and so I decided that my partner and I would split it 50/50."
R_6GE5fnVYYLV7P9J,"I don't use brown sugar packets, so I thought maybe he could use them. If I would have them, they wouldn't be used."
R_5visovmegLKFM8F,I just think it should be an even split because I don't want to keep all the oatmeal for myself especially because I dont even think I would eat 10 packets of them
R_1Yb1nh3MFT0PbbG,"I split the oatmeal packets 50/50 because I don't necessarily place high value on the oatmeal packets. Again I like my partner, so I wanted to give her something."
R_7CfeJJsXE9doY5O,I dont really care that much about oatmeal so I just split it fairly so we each get the same amount.
R_1BbniTxZ1mwpXXz,"I would also distribute these evenly between the two of us. I had already met my partner a handful of times, so I would want to share my oatmeal packets with her so she thinks I am kind."
R_5pgL5tslRFTMMtv,"I imagine my partner would place little value on the oatmeal and wouldn't really care if I kept it. Furthermore, it's just easier to keep it than having to explain why I am splitting it."
R_65Xp6yACt6Vl2tr,I don't want to burden them with 10 so ill split it up fair
R_6hUWH8NAlcSKsLf,Yet again I just wanted to be even. The numbers could change if one of us doesn't like oatmeal.
R_52P9OeYQHuWG2Jv,"I like brown sugar oatmeal, so I wanted some for myself and assumed that my partner would want it too and gave her the equal amount to be fair."
R_1NWL4YKteSA6f4d,I split the oatmeal packets evenly because I think this would be the best moral and simple choice to do. We both get the same amount of oatmeal and we wouldn't need to worry about anything being unfair.
R_74imBdCiemuveRq,"Same as answer 1, I like Brown Sugar oatmeal, but It's only fair if we split between the two of us. Again, if he really liked them my answer would change, but splitting evenly is the most fair."
R_12uqXUe7afRuGHt,"I personally do like brown sugar packets, so I know I would want some, and i don't know if the other person likes them or not so I would split them in half to be safe. If it was something else I didn't care for then I probably would have given them all to the other person."
R_5ItGsCLbtGnj36h,"I don't really eat oatmeal, nor does anyone I'm close with. I decided to give all the packets to the partner because perhaps they may have a use for them while I don't. Even if they don't, they might know someone who would or could just give them away again if they're uninterested."
R_3Cfgzpc3UkqnyX6,"I had not introduced myself or met this person before, so taking all the oatmeal packets would not be morally wrong for me. I may be embarrassed if my choice was revealed to them, but I think my answer choice is not outlandish."
R_7rZvRofzdgrEvab,"I gave them half so it would be evenly divided. I'd want us to have the same amount, so it is fair."
R_5nTR8qdHfsp5B1N,I decided to split this one 5 and 5. I do not really care for oatmeal but I would still want a free oatmeal packet so that is why I decided 5 and 5.
R_6ZW745lUpmJxEXH,I do not need 10 oatmeal packets. I wouldn't want to keep all 10 if I had to. Why not give half to the other person.
R_1oNlKzvO6qkQIRw,"I don't really need the sugar oatmeal packs, so I decided to split them evenly amongst us. Maybe she needs a couple and could fins use of them at some point."
R_1qUG2BGu1jHr7qQ,"I dont really care for the brown sugar oatmeal packets, but I will take some if given to me. i split it because if it is something i hold little value to, i dont mind sharing. Splitting it in half is fair."
R_5EzXVlcrKNUyQ3f,"I like brown sugar oatmeal, but I already have some at home. Therefore, I don't need 10 more packets, but I know I would use at least 5 more packets."
R_6joGGi6BJN0kCf2,"I do not like oatmeal, so I would take 2 packets for my roommate who eats oatmeal and give the rest to the other participant. I have no desire to split the packets 50/50 but also do not want to walk away empty handed."
R_6SpNzAHTLtneDZ0,"I am not the biggest fan of brown sugar oatmeal packets, so I thought maybe my partner would like them more than I do. So I gave myself 3 and my partner 7."
R_5Xxkqu43uN6gI8N,it was the most fair 50-50. Nobody can get upset
R_3NVrfRHHDVkbB8a,so we will both have enough oatmeal packets. No one will feel unhappy or unfair
R_7rwuBZKiWQup25E,we were both randomly paired and no one did anything to warrant earning more than the others so we should split them evenly. i do not know if they even like oatmeal but the split initially should be even and then if one party decides they want to give some of theirs away they can
R_3U4qs6MoQxcDN6w,"I honestly just split it halfway because I know I wouldn't use more than that. Also, I wouldn't want to take that many just for them to go to waste."
R_6pQA102t0EL3gXM,I gave my partner 5 of them and myself 5 of them because evenly distributing something of that sort is being nice and thoughtful. I don't need more than 5 oatmeal packet's so giving him the same amount doesn't affect me.
R_56P3YhzJ91TIhj3,It's an even and fair split. I'm not overly concerned with how many packets I walk away with.
R_17wKBxjT2yFQIWG,"Once again, I wanted to keep it fair between the other person and myself. Without knowing the other persons preferences on food, I would rather assume that they would want some rather than take it all for myself."
R_52a2mT5Ujyd6SsF,"I decided to allocate 5 of the ball point pens to another participant (5 for myself) because that way it's an even share and each of us get something. I don't know any of these individuals personally or their backgrounds, so this seems like the best option."
R_6jesfZ5JS3w47EO,"I don't think someone needs 10 ballpoint pens, so I decided to split them. Also, I am a server, and I use pens a lot, so it would be nice to have more pens. 5 pens are enough, though."
R_1PuXbHrkwqFNFuN,Same reasoning as the money. Just split it evenly since there's no other reason to do it otherwise.
R_77wnZMeYrFmliGK,"I gave my partner all of the ballpoint pens because I have a lot already. I do not need any more pens, so this was fairest thing to do."
R_1owegpSVb9t0FTA,same reason as before I'm also not in need of 10 ballpoint pens so splitting them in half was the easiest thing to do. I didn't care enough to split it unevenly and figure out who gets more.
R_6hB8WIyXKXQ9enL,"Ballpoint pens are not something I am in desperate need for, and I doubt my partner is either so 50/50 seemed the only logical and fair way. They are a nice thing to have so I am sure she would enjoy them as much as I would."
R_7GByqCGVgjkLwSY,"i gave me and my partner each 5 pens, i personally do not need 10 pens so I chose to share"
R_7ZPPWyD7LaqvKr7,I gave us each 5 pens to split it evenly. It is fair that way.
R_3Qxs4wDAJZNTrBr,just half and half gonna be fine
R_1Izs124gCTzLqLq,I just wanted everything to be distributed evenly because that is the right thing to do.
R_7RaFFxIPEOJoa7i,I allocated five of the ten ballpoint pens to the other participant. I felt that I don't need all ten of them and as partners we could split them.
R_5QS4jRX3qahVSjn,"again, neither of us earned the pens. they all have the same amount of utility and it makes sense to just split it between us two"
R_5Ncn9VRWGVGo2Cl,I would give us both the same amount because I feel as if that would be fair and I don't need 10 pens.
R_5zKILD6GB8bLMXf,I believe that it is only fair that we get the same proportion of pens. I don't know the other participant well enough to determine if they have a greater or less need for the product.
R_1CaCkVfoe6JcvZv,"I always have pencils on hand but usually never pens, so I would benefit from having pens on hand. I also thought if I didn't have pens on hand, maybe others don't too. So, I gave 5 pens to me and 5 to my partner."
R_66fh3PITLpNaKWI,"Similar to the money, the pens were given for both of us. I also don't have any need for 10 pens."
R_6BIfMXfAyE8fHm9,we were given an even number so it is only fair if we split them evenly
R_71cIali32krfPjS,I split the 10 pens equally amongst the two of us. I don't really want or need more than like 2 pens but split equally to make it fair. I would later ask if they wanted more because I don't really need 5 pens.
R_6IjixZHQf4wh6Fz,Ballpoint pens are not that valuable to me. It made sense to me to just split them evenly.
R_6wFSlXwjK1dhu0o,"As college students, pens are useful to us. Maybe I would ask the other person if they handwrite notes more often than I do and split it that way, but otherwise I think it is still reasonable to split evenly."
R_7FFzvVGhril1ZOS,"I would have given more pens to the other participant, but I'm not sure they would need or even want more than 1 or maybe 2 pens for themselves, and I tend to lose lots of writing utensils, so I believe it would be most efficient to split that way. This way I could take the pens off their hands for them."
R_7oI3SIxeT9kjqu6,"Not that I necessarily need more pens, but splitting seems fair to me in this situation. When offered an even amount, splitting is always the best option to ensure fairness."
R_3Du32NZXlwkOgYc,It's fair that we both get the same amount. If i took 7 and gave her 3 it would be unfair of me. If she got 3 and i got 7 it would be unfair to her.
R_5e4f0PoBxZsWADp,"Again, the same reasoning for splitting with the money. If it were up to me, I will choose to split it."
R_3HTVuLppb6n19tO,I think that it would only be fair to split the pens won because neither of us did anything more than the other to deserve the winnings.
R_6LnA4wpJ6f61RHP,"I don't really care for ballpoint pens, so I split them up evenly between us. It wasn't money and I couldn't sell them so I would give them up."
R_5RUL6JSeeKlxhPi,"I split it in half so each of us get 5 pens. I felt that this was the most fair, but if I knew my partner needed pens I would give him more, because I don't necessarily need any."
R_5vJRWS9fAAfbizT,"I chose for each of us to get the same amount because it just seemed fair, I don't need ten pens. Since it's my first time meeting them I don't want to give them a bad impression I also don't know if they use or already have pens"
R_5Rxf6swqTpgn7eu,The other person could probably use those pens just as much as me so we should have an equal distribution.
R_3PuaMLk5FFFTuLr,I would give him an extra pen becasue i do not need any. I wouldnt gve him all because he might not need the either.
R_5KDzKmKIqlJ7CVI,"Similar to the last answer, we just met each other and he was a good guy. I think we each deserve 50/50 in anything we get."
R_1GDmg0yWgrk7XpC,I again chose to split the pens 50/50 as I gave myself 5 and my partner 5 as well. To me it makes the most sense to just divide them evenly.
R_1pRIUcBLkzBGslq,"I feel for something as insignificant as pens, I would not be upset with sharing evenly with my partner, even if I barely know them. I also have several pens of my own and wouldn't need all ten for myself."
R_7OquNTHMsxHHSLZ,"I decided to split the pens evenly between the 2 of us. I did this because I think it is the most just and fair way to split them, especially because I do not need 10 whole ballpoint pens."
R_32Muq6Y6gnckZL0,"I do use ballpoint pens but, i'm sure she does too. There is no need to have more then 5 pens each was my thought"
R_1CQhqeTbClkGsdR,"I would give me and the participant each 5 ballpoint pens. With each of us having 5 pens it helps to ensure that one of us isn't upset with the others amount. This way it is even, and no one is put in an awkward position."
R_5KvjkATw8t7EM5b,I chose to give the other participant more pens than me because I don't need that many pens so I thought giving her more would be nicer if she needed them
R_5uNInxm1rUOiqNC,the reason I split the pens up like that is because I do not use pens. that why I gave him the most because I would just waste them.
R_5004ViwSyLxP5GV,"I again chose to split evenly. I do not really need 10 pens, but I think we each could use 5."
R_72Y2IeZHOXIYibc,"I would split the pens assuming I was given them for coursework, and the other participant was in need of some."
R_6duFgQKXoXHcn0S,I would allocate 5 pens to each of this. This is the most fair way to decide what each person gets. Making it equal is the smartest way to make the decision.
R_1JeN4JJriYnl5Ti,"I would be willing to share pens with people. I can only use so many pens. So, it makes sense to share some with someone who might need it."
R_6vZYpEt1i30i9RO,"I don't really care about ballpoint pens which inclined me to split it evenly between my partners. I wouldn't know what to do with all of these pens, so I thought that it would be good to split it so we can distribute it between our friends and family."
R_3o25g8pqp0o6zAS,"I would allocate 5 of the 10 pens to the other participant for similar reasoning as we have 10 to split amongst the 2 of us. I have no immediate use for over 5 pens, so out of fairness I would be willing to dedicate half to my partner participant."
R_1jcb4o3YdMmlqG5,I just thought it would be fair. He gets 5 and I get 5.
R_6jqwPYzTBXDPlgB,I don't need to own ten pens. I would happily share them.
R_1PBdvqh30rzB7Vh,"Personally, I don't know what I would do with 5 pens, let alone 10. So it felt like the simplest choice to divide the pens amongst us evenly."
R_1N9YK0Ms5Qn24O0,"Both of us probably don't need more than two pens, so it's best to just split the 10 evenly and have 3 extra"
R_5LYwXdzgCScn7hW,"I would split the ball point bens down the middle, as I feel that is fair that we each get 5. The reason I believe that this is fair is because this is a gift and we both had no prior ownership, but it is a gift."
R_3rJOtojXi51bfIv,"I gave the other person all of the pens. I did this because I do not need ballpoint pens at all, so getting any wouldn't help me in any way, unless they are some really nice pens."
R_5dArMuO15CPgMKr,"Once again, I just split it in half to be fair (5 for me and 5 for her). I did this so I would not feel guilty about taking more pens and leaving her with less."
R_5HqvU7MEp91kr7a,"Similar to the other scenario, I would split the pens evenly between my partner and me. I have no use for 10 ballpoint pens, so giving half to my partner wouldn't impact me negatively and would allow them to have some for their own use."
R_65FV7Anb2apCFek,i don't care about having ball point pens and i doubt he does either so i decided to split them evenly
R_7v2336zpdg3pC4x,"Because I do not need 10 pens, and maybe the other person is in need of a pen."
R_1cjysXzNynGbFdq,I allocated half the pens between me and the other participants I was paired with. I did this because I feel like it was morally the right thing to do to share half with the person.
R_1jYvCR85auzyVDa,"I have no need for more than 3 ballpoint pens so I may as well split them up evenly. What if my partner has no pens at home so he needs 5, may as well make it fair."
R_5nCKgQjT8UgRTwt,I decided to split the pens up between us. I gave him 6 and myself 4 because I don't use pens that often.
R_60Iuo2PXsDFtFKQ,I chose to split it evenly. I did this because that's the fair way.
R_1q7Jr2YjkezRR2w,"I don't need that many pens. If my partner were around, I would split them with her. I did it evenly because I think it's rude to give away all of them, since it could get construed as I'm trying to get rid of junk."
R_7G6rdXvb2WE9i7F,I did 5 and 5. I wanted it to be equal.
R_7mW8gPkze59IeE6,I don't need 10 ballpoint pens. I am very specific about the pens I use. Therefore he can have half and I'll keep the other half for when people ask to borrow a pen in class.
R_5LLmwpU9G1WTwdg,"I could really only use 2 pens, they create clutter. If my partner wanted less than 8, I could be open to taking more pens."
R_7zIs6w72BGyCuK5,"Put others before yourself is what I believe in. Also, I don't need that many pens."
